ID,ActionTime,Tactic,Server,
62,2019-06-24T00:57:11.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:57:11.000Z', 0,7);"
63,2019-06-24T00:57:12.041Z,2,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:57:12.041Z', 2,7);"
64,2019-06-24T00:57:29.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:57:29.000Z', 0,7);"
65,2019-06-24T00:57:30.576Z,3,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:57:30.576Z', 3,7);"
66,2019-06-24T00:57:38.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:57:38.000Z', 0,7);"
67,2019-06-24T00:57:39.218Z,4,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:57:39.218Z', 4,7);"
68,2019-06-24T01:01:25.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:01:25.000Z', 0,7);"
69,2019-06-24T01:01:26.570Z,5,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:01:26.570Z', 5,7);"
70,2019-06-24T01:01:27.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:01:27.000Z', 0,7);"
71,2019-06-24T01:01:28.777Z,1,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:01:28.777Z', 1,8);"
72,2019-06-24T01:07:53.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:07:53.000Z', 0,8);"
73,2019-06-24T01:07:54.459Z,2,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:07:54.459Z', 2,8);"
74,2019-06-24T01:08:35.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:08:35.000Z', 0,8);"
75,2019-06-24T01:08:36.696Z,3,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:08:36.696Z', 3,8);"
76,2019-06-24T01:08:45.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:08:45.000Z', 0,8);"
77,2019-06-24T01:08:46.582Z,4,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:08:46.582Z', 4,8);"
78,2019-06-24T01:11:20.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:11:20.000Z', 0,8);"
79,2019-06-24T01:11:21.426Z,5,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:11:21.426Z', 5,8);"
80,2019-06-24T01:11:23.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:11:23.000Z', 0,8);"
81,2019-06-24T01:11:24.123Z,1,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:11:24.123Z', 1,9);"
82,2019-06-24T01:13:19.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:13:19.000Z', 0,9);"
83,2019-06-24T01:13:20.051Z,2,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:13:20.051Z', 2,9);"
84,2019-06-24T01:15:44.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:15:44.000Z', 0,9);"
85,2019-06-24T01:15:45.418Z,3,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:15:45.418Z', 3,9);"
86,2019-06-24T01:15:53.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:15:53.000Z', 0,9);"
87,2019-06-24T01:15:54.194Z,4,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:15:54.194Z', 4,9);"
88,2019-06-24T01:18:27.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:18:27.000Z', 0,9);"
89,2019-06-24T01:18:28.418Z,5,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:18:28.418Z', 5,9);"
90,2019-06-24T01:18:32.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:18:32.000Z', 0,9);"
91,2019-06-24T01:19:03.815Z,1,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:19:03.815Z', 1,1);"
92,2019-06-24T01:22:39.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:22:39.000Z', 0,1);"
93,2019-06-24T01:22:40.177Z,2,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:22:40.177Z', 2,1);"
94,2019-06-24T01:22:57.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:22:57.000Z', 0,1);"
95,2019-06-24T01:22:58.949Z,3,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:22:58.949Z', 3,1);"
96,2019-06-24T01:23:01.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:23:01.000Z', 0,1);"
97,2019-06-24T01:23:02.611Z,4,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:23:02.611Z', 4,1);"
98,2019-06-24T01:25:41.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:25:41.000Z', 0,1);"
99,2019-06-24T01:25:42.285Z,5,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:25:42.285Z', 5,1);"
100,2019-06-24T01:25:49.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:25:49.000Z', 0,1);"
101,2019-06-24T01:25:50.119Z,1,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:25:50.119Z', 1,2);"
102,2019-06-24T01:27:53.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:27:53.000Z', 0,2);"
103,2019-06-24T01:27:54.623Z,2,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:27:54.623Z', 2,2);"
104,2019-06-24T01:30:10.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:30:10.000Z', 0,2);"
105,2019-06-24T01:30:11.986Z,3,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:30:11.986Z', 3,2);"
106,2019-06-24T01:30:25.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:30:25.000Z', 0,2);"
107,2019-06-24T01:30:26.867Z,4,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:30:26.867Z', 4,2);"
108,2019-06-24T01:32:25.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:32:25.000Z', 0,2);"
109,2019-06-24T01:32:26.636Z,5,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:32:26.636Z', 5,2);"
110,2019-06-24T01:32:35.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:32:35.000Z', 0,2);"
111,2019-06-24T01:32:36.981Z,1,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:32:36.981Z', 1,3);"
112,2019-06-24T01:35:10.000Z,0,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:35:10.000Z', 0,3);"
113,2019-06-24T01:35:11.911Z,2,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:35:11.911Z', 2,3);"
114,2019-06-24T01:37:42.000Z,0,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:37:42.000Z', 0,3);"
115,2019-06-24T01:37:43.059Z,3,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:37:43.059Z', 3,3);"
116,2019-06-24T01:37:47.000Z,0,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:37:47.000Z', 0,3);"
117,2019-06-24T01:37:48.409Z,4,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:37:48.409Z', 4,3);"
118,2019-06-24T01:40:07.000Z,0,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:40:07.000Z', 0,3);"
119,2019-06-24T01:40:08.623Z,5,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:40:08.623Z', 5,3);"
120,2019-06-24T01:40:22.000Z,0,3,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:40:22.000Z', 0,3);"
121,2019-06-24T01:40:23.412Z,1,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:40:23.412Z', 1,4);"
122,2019-06-24T01:43:15.000Z,0,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:43:15.000Z', 0,4);"
123,2019-06-24T01:43:16.207Z,2,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:43:16.207Z', 2,4);"
124,2019-06-24T01:44:14.000Z,0,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:44:14.000Z', 0,4);"
125,2019-06-24T01:44:15.195Z,3,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:44:15.195Z', 3,4);"
126,2019-06-24T01:44:19.000Z,0,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:44:19.000Z', 0,4);"
127,2019-06-24T01:44:20.074Z,4,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:44:20.074Z', 4,4);"
128,2019-06-24T01:46:12.000Z,0,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:46:12.000Z', 0,4);"
129,2019-06-24T01:46:13.968Z,5,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:46:13.968Z', 5,4);"
130,2019-06-24T01:46:13.000Z,0,4,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:46:13.000Z', 0,4);"
131,2019-06-24T01:46:14.977Z,1,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:46:14.977Z', 1,5);"
132,2019-06-24T01:47:50.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:47:50.000Z', 0,5);"
133,2019-06-24T01:47:51.258Z,2,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:47:51.258Z', 2,5);"
134,2019-06-24T01:49:02.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:49:02.000Z', 0,5);"
135,2019-06-24T01:49:03.936Z,3,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:49:03.936Z', 3,5);"
136,2019-06-24T01:49:14.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:49:14.000Z', 0,5);"
137,2019-06-24T01:49:15.392Z,4,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:49:15.392Z', 4,5);"
138,2019-06-24T01:54:22.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:54:22.000Z', 0,5);"
139,2019-06-24T01:54:23.756Z,5,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:54:23.756Z', 5,5);"
140,2019-06-24T01:54:23.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:54:23.000Z', 0,5);"
141,2019-06-24T01:54:24.764Z,1,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T01:54:24.764Z', 1,6);"
142,2019-06-24T02:00:08.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:00:08.000Z', 0,6);"
143,2019-06-24T02:00:09.537Z,2,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:00:09.537Z', 2,6);"
144,2019-06-24T02:00:15.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:00:15.000Z', 0,6);"
145,2019-06-24T02:00:16.312Z,3,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:00:16.312Z', 3,6);"
146,2019-06-24T02:01:00.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:01:00.000Z', 0,6);"
147,2019-06-24T02:01:01.757Z,4,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:01:01.757Z', 4,6);"
148,2019-06-24T02:03:57.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:03:57.000Z', 0,6);"
149,2019-06-24T02:03:58.961Z,5,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:03:58.961Z', 5,6);"
150,2019-06-24T02:03:58.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:03:58.000Z', 0,6);"
151,2019-06-24T02:03:59.969Z,1,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:03:59.969Z', 1,7);"
152,2019-06-24T02:10:54.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:10:54.000Z', 0,7);"
153,2019-06-24T02:10:55.057Z,2,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:10:55.057Z', 2,7);"
154,2019-06-24T02:11:16.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:11:16.000Z', 0,7);"
155,2019-06-24T02:11:17.360Z,3,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:11:17.360Z', 3,7);"
156,2019-06-24T02:11:28.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:11:28.000Z', 0,7);"
157,2019-06-24T02:11:29.515Z,4,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:11:29.515Z', 4,7);"
158,2019-06-24T02:16:05.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:16:05.000Z', 0,7);"
159,2019-06-24T02:16:06.847Z,5,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:16:06.847Z', 5,7);"
160,2019-06-24T02:16:06.000Z,0,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:16:06.000Z', 0,7);"
161,2019-06-24T02:16:07.966Z,1,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:16:07.966Z', 1,8);"
162,2019-06-24T02:21:53.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:21:53.000Z', 0,8);"
163,2019-06-24T02:21:54.027Z,2,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:21:54.027Z', 2,8);"
164,2019-06-24T02:22:18.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:22:18.000Z', 0,8);"
165,2019-06-24T02:22:19.567Z,3,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:22:19.567Z', 3,8);"
166,2019-06-24T02:22:24.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:22:24.000Z', 0,8);"
167,2019-06-24T02:22:25.872Z,4,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:22:25.872Z', 4,8);"
168,2019-06-24T02:25:21.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:25:21.000Z', 0,8);"
169,2019-06-24T02:25:22.798Z,5,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:25:22.798Z', 5,8);"
170,2019-06-24T02:25:22.000Z,0,8,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:25:22.000Z', 0,8);"
171,2019-06-24T02:25:23.807Z,1,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:25:23.807Z', 1,9);"
172,2019-06-24T02:27:06.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:27:06.000Z', 0,9);"
173,2019-06-24T02:27:07.323Z,2,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:27:07.323Z', 2,9);"
174,2019-06-24T02:29:08.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:29:08.000Z', 0,9);"
175,2019-06-24T02:29:09.339Z,3,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:29:09.339Z', 3,9);"
176,2019-06-24T02:32:13.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:32:13.000Z', 0,9);"
177,2019-06-24T02:32:14.218Z,4,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:32:14.218Z', 4,9);"
178,2019-06-24T02:34:52.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:34:52.000Z', 0,9);"
179,2019-06-24T02:34:53.222Z,5,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:34:53.222Z', 5,9);"
180,2019-06-24T02:34:59.000Z,0,9,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:34:59.000Z', 0,9);"
181,2019-06-24T02:35:30.647Z,1,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:35:30.647Z', 1,1);"
182,2019-06-24T02:38:10.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:38:10.000Z', 0,1);"
183,2019-06-24T02:38:11.628Z,2,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:38:11.628Z', 2,1);"
184,2019-06-24T02:38:47.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:38:47.000Z', 0,1);"
185,2019-06-24T02:38:48.374Z,3,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:38:48.374Z', 3,1);"
186,2019-06-24T02:38:50.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:38:50.000Z', 0,1);"
187,2019-06-24T02:38:51.830Z,4,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:38:51.830Z', 4,1);"
188,2019-06-24T02:40:38.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:40:38.000Z', 0,1);"
189,2019-06-24T02:40:39.986Z,5,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:40:39.986Z', 5,1);"
190,2019-06-24T02:40:51.000Z,0,1,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:40:51.000Z', 0,1);"
191,2019-06-24T02:40:52.210Z,1,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:40:52.210Z', 1,2);"
192,2019-06-24T02:42:19.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:42:19.000Z', 0,2);"
193,2019-06-24T02:42:20.377Z,2,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:42:20.377Z', 2,2);"
194,2019-06-24T02:43:48.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:43:48.000Z', 0,2);"
195,2019-06-24T02:43:49.646Z,3,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:43:49.646Z', 3,2);"
196,2019-06-24T02:43:58.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:43:58.000Z', 0,2);"
197,2019-06-24T02:43:59.583Z,4,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:43:59.583Z', 4,2);"
198,2019-06-24T02:47:23.000Z,0,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:47:23.000Z', 0,2);"
199,2019-06-24T02:47:24.265Z,5,2,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T02:47:24.265Z', 5,2);"
