DateTime,Tactic,Server
2019-06-22T04:20:11.000Z,0,8
2019-06-22T04:20:12.083Z,2,8
2019-06-22T04:20:48.000Z,0,8
2019-06-22T04:20:49.483Z,3,8
2019-06-22T04:20:54.000Z,0,8
2019-06-22T04:20:55.963Z,4,8
2019-06-22T04:22:28.000Z,0,8
2019-06-22T04:22:29.372Z,5,8
2019-06-22T04:22:30.000Z,0,8
2019-06-22T04:22:31.815Z,1,9
2019-06-22T04:23:26.000Z,0,9
2019-06-22T04:23:27.384Z,2,9
2019-06-22T04:23:44.000Z,0,9
2019-06-22T04:23:45.220Z,3,9
2019-06-22T04:23:50.000Z,0,9
2019-06-22T04:23:51.680Z,4,9
2019-06-22T04:25:12.000Z,0,9
2019-06-22T04:25:13.105Z,5,9
2019-06-22T04:25:19.000Z,0,9
2019-06-22T04:25:50.084Z,1,1
2019-06-22T04:26:45.000Z,0,1
2019-06-22T04:26:46.553Z,2,1
2019-06-22T04:27:50.000Z,0,1
2019-06-22T04:27:51.487Z,3,1
2019-06-22T04:27:56.000Z,0,1
2019-06-22T04:27:57.004Z,4,1
2019-06-22T04:29:30.000Z,0,1
2019-06-22T04:29:31.919Z,5,1
2019-06-22T04:29:49.000Z,0,1
2019-06-22T04:29:50.218Z,1,2
2019-06-22T04:30:14.000Z,0,2
2019-06-22T04:30:15.981Z,2,2
2019-06-22T04:31:13.000Z,0,2
2019-06-22T04:31:14.123Z,3,2
2019-06-22T04:31:19.000Z,0,2
2019-06-22T04:31:20.102Z,4,2
2019-06-22T04:32:55.000Z,0,2
2019-06-22T04:32:56.165Z,5,2
2019-06-22T04:33:02.000Z,0,2
2019-06-22T04:33:03.762Z,1,3
2019-06-22T04:34:09.000Z,0,3
2019-06-22T04:34:10.739Z,2,3
2019-06-22T04:34:39.000Z,0,3
2019-06-22T04:34:40.899Z,3,3
2019-06-22T04:34:46.000Z,0,3
2019-06-22T04:34:47.095Z,4,3
2019-06-22T04:36:17.000Z,0,3
2019-06-22T04:36:18.891Z,5,3
2019-06-22T04:36:38.000Z,0,3
2019-06-22T04:36:39.536Z,1,4
2019-06-22T04:41:59.000Z,0,4
2019-06-22T04:42:00.343Z,2,4
2019-06-22T04:42:14.000Z,0,4
2019-06-22T04:42:15.779Z,3,4
2019-06-22T04:42:20.000Z,0,4
2019-06-22T04:42:21.134Z,4,4
2019-06-22T04:44:29.000Z,0,4
