,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
11,svr_rbf_predictions_server_2_tactic_1_sampleRate_10.csv,202491.506144312,2121815.000735704,0.0,258,0.0,0,258,258,0,0,0
12,svr_rbf_predictions_server_2_tactic_1_sampleRate_0.csv,17526104.44290225,24812605.339651592,964205.9531113827,695,2135205.9531113845,1171,1431,695,1171,0,736
13,svr_rbf_predictions_server_2_tactic_1_sampleRate_5.csv,265852.8332570046,1868600.52371832,100.26107810942881,516,1100.2610781094288,1,517,516,1,0,1
14,svr_rbf_predictions_server_2_tactic_1_sampleRate_20.csv,385662.17474560195,2241572.246420103,0.0,128,0.0,0,128,128,0,0,0
15,arima_predictions_server_1_tactic_1_sampleRate_0.csv,1143000.2803629353,20623876.15577209,2883.6941434539826,1043,30673.438600471018,54,2550,1018,29,25,1532
16,arima_predictions_server_1_tactic_1_sampleRate_5.csv,81420.76833275188,1183209.9424466325,162.11988721480202,512,1162.119887214802,1,519,512,1,0,7
17,arima_predictions_server_1_tactic_1_sampleRate_20.csv,92015.48444325145,1547715.5248907262,0.0,130,0.0,0,130,130,0,0,0
18,arima_predictions_server_1_tactic_1_sampleRate_10.csv,86283.90336167418,1429510.854423833,0.0,260,0.0,0,260,260,0,0,0
19,arima_predictions_server_3_tactic_1_sampleRate_0.csv,3050993.3906600615,16504890.1933527,61091.08166543218,1115,182833.5325327588,281,2323,980,146,135,1343
20,arima_predictions_server_3_tactic_1_sampleRate_5.csv,383156.45161388273,1376861.764847852,4343.43663858364,513,7080.539003085856,9,511,508,4,5,3
21,arima_predictions_server_3_tactic_1_sampleRate_10.csv,445907.2042154864,1631484.4590752602,0.0,260,0.0,0,260,260,0,0,0
22,arima_predictions_server_3_tactic_1_sampleRate_20.csv,444298.2700098355,1763051.2436178003,0.0,130,0.0,0,130,130,0,0,0
23,arima_predictions_server_2_tactic_1_sampleRate_10.csv,233484.15540408785,2139130.5200159317,0.0,260,0.0,0,260,260,0,0,0
24,arima_predictions_server_2_tactic_1_sampleRate_5.csv,232652.52988517034,1878623.205604958,0.0,519,0.0,0,520,519,0,0,1
25,arima_predictions_server_2_tactic_1_sampleRate_0.csv,2711900.468974269,24240501.796997756,10779.3352421507,1273,68700.34162831672,123,2481,1213,63,60,1268
26,arima_predictions_server_2_tactic_1_sampleRate_20.csv,242449.2987547754,2273957.328235036,0.0,130,0.0,0,130,130,0,0,0
27,svr_linear_predictions_server_1_tactic_1_sampleRate_0.csv,11801175.870406523,21006235.540797655,514757.94152223587,659,1469757.941522236,955,1647,659,955,0,988
28,svr_linear_predictions_server_1_tactic_1_sampleRate_5.csv,724752.4752533645,1220055.787127845,14498.008783842533,470,55498.008783842524,41,477,470,41,0,7
29,svr_linear_predictions_server_1_tactic_1_sampleRate_10.csv,686988.184755333,1418947.9942072288,0.0,258,0.0,0,258,258,0,0,0
30,svr_linear_predictions_server_1_tactic_1_sampleRate_20.csv,669540.3778494871,1522484.3847970304,0.0,128,0.0,0,128,128,0,0,0
31,svr_linear_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,11649203.649641633,21000238.06230998,471576.89628415403,669,1379576.8962841525,908,1694,669,908,0,1025
32,svr_linear_predictions_server_3_tactic_1_sampleRate_0.csv,11051102.094252098,17010089.171825632,695824.2412817692,644,1763824.2412817692,1068,1534,644,1068,0,890
33,svr_linear_predictions_server_3_tactic_1_sampleRate_20.csv,895356.8002161365,1736691.977795342,0.0,128,0.0,0,128,128,0,0,0
34,svr_linear_predictions_server_3_tactic_1_sampleRate_5.csv,1244030.4266376502,1478671.3880604063,73476.11684784183,426,157476.1168478418,84,434,426,84,0,8
35,svr_linear_predictions_server_3_tactic_1_sampleRate_10.csv,959092.4457025661,1618111.1213579786,0.0,258,0.0,0,258,258,0,0,0
36,svr_linear_predictions_server_3_tactic_1_sampleRate_0_no_ping.csv,11734226.952066703,17040677.519521862,814542.6585806772,617,1927542.658580677,1113,1489,617,1113,0,872
37,svr_linear_predictions_server_2_tactic_1_sampleRate_20.csv,385662.17474560195,2241572.246420103,0.0,128,0.0,0,128,128,0,0,0
38,svr_linear_predictions_server_2_tactic_1_sampleRate_5.csv,265852.8332570046,1868600.52371832,100.26107810942881,516,1100.2610781094288,1,517,516,1,0,1
39,svr_linear_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,17982425.79482407,24832037.702118486,1052656.8086230033,680,2253656.808623004,1201,1401,680,1201,0,721
40,svr_linear_predictions_server_2_tactic_1_sampleRate_0.csv,17595567.95964814,24812735.258003365,972614.2504102763,695,2142614.250410278,1170,1432,695,1170,0,737
41,svr_linear_predictions_server_2_tactic_1_sampleRate_10.csv,202491.506144312,2121815.000735704,0.0,258,0.0,0,258,258,0,0,0
42,mlp_predictions_server_1_tactic_1_sampleRate_10.csv,67008.21001828101,1413003.7626840884,0.0,257,0.0,0,257,257,0,0,0
43,mlp_predictions_server_1_tactic_1_sampleRate_20.csv,82389.18470295308,1510918.4641755994,0.0,127,0.0,0,127,127,0,0,0
44,mlp_predictions_server_1_tactic_1_sampleRate_0.csv,827674.0150170501,20603723.703040037,1984.2100199707083,1038,25899.63338854809,42,2559,1021,25,17,1538
45,mlp_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,1121079.8472399057,20581064.87359704,3528.2897608912353,1057,26219.953677380578,67,2534,1015,25,42,1519
46,mlp_predictions_server_1_tactic_1_sampleRate_5.csv,71202.47122388997,1177948.1759281254,26.879732667253734,510,0.0,3,514,507,0,3,7
47,mlp_predictions_server_3_tactic_1_sampleRate_20.csv,384023.2206666878,1704767.8179417662,0.0,127,0.0,0,127,127,0,0,0
48,mlp_predictions_server_3_tactic_1_sampleRate_10.csv,527982.2979755332,1585701.7688715796,0.0,257,0.0,0,257,257,0,0,0
