ID,ActionTime,Cost1,Cost2,,0
308,2019-07-22T00:06:21.000Z,295.14,1510.74,,
309,2019-07-22T00:06:22.000Z,273.2,1392.16,,
310,2019-07-22T00:06:23.000Z,274.81,1379.84,,
311,2019-07-22T00:06:24.000Z,273.35,1398.32,,
312,2019-07-22T00:06:25.000Z,274.04,1398.32,,
313,2019-07-22T00:06:26.000Z,274.12,1430.66,,
314,2019-07-22T00:06:27.000Z,295.6,1518.44,,
315,2019-07-22T00:06:28.000Z,273.66,1395.24,,
316,2019-07-22T00:06:29.000Z,274.2,1398.32,,
317,2019-07-22T00:06:30.000Z,273.43,1402.94,,
318,2019-07-22T00:06:31.000Z,273.73,1398.32,,
319,2019-07-22T00:06:32.000Z,275.2,1392.16,,
320,2019-07-22T00:06:33.000Z,298.3,1664.74,,
321,2019-07-22T00:06:34.000Z,273.04,1402.94,,
322,2019-07-22T00:06:35.000Z,271.35,1390.62,,
323,2019-07-22T00:06:36.000Z,272.89,1395.24,,
324,2019-07-22T00:06:37.000Z,274.04,1395.24,,
325,2019-07-22T00:06:38.000Z,274.2,1398.32,,
326,2019-07-22T00:06:39.000Z,272.73,1398.32,,
327,2019-07-22T00:06:40.000Z,271.42,1384.46,,
328,2019-07-22T00:06:41.000Z,275.2,1407.56,,
329,2019-07-22T00:06:42.000Z,271.81,1387.54,,
330,2019-07-22T00:06:43.000Z,273.2,1395.24,,
331,2019-07-22T00:06:44.000Z,271.12,1384.46,,
332,2019-07-22T00:06:45.000Z,478.55,1524.6,,
333,2019-07-22T00:06:46.000Z,271.19,1382.92,,
334,2019-07-22T00:06:47.000Z,272.89,1390.62,,
335,2019-07-22T00:06:48.000Z,272.73,1398.32,,
336,2019-07-22T00:06:49.000Z,273.73,1398.32,,
337,2019-07-22T00:06:50.000Z,273.2,1398.32,,
338,2019-07-22T00:06:51.000Z,273.2,1395.24,,
339,2019-07-22T00:06:52.000Z,323.48,1635.48,,
340,2019-07-22T00:06:53.000Z,273.66,1398.32,,
341,2019-07-22T00:06:54.000Z,273.5,1398.32,,
342,2019-07-22T00:06:55.000Z,273.5,1392.16,,
343,2019-07-22T00:06:56.000Z,273.43,1395.24,,
344,2019-07-22T00:06:57.000Z,270.73,1382.92,,
345,2019-07-22T00:06:58.000Z,273.04,1392.16,,
346,2019-07-22T00:06:59.000Z,271.81,1390.62,,
347,2019-07-22T00:07:00.000Z,271.19,1384.46,,
348,2019-07-22T00:07:01.000Z,273.89,1399.86,,
349,2019-07-22T00:07:02.000Z,274.81,1406.02,,
350,2019-07-22T00:07:03.000Z,272.19,1384.46,,
351,2019-07-22T00:07:04.000Z,296.53,1504.58,,
352,2019-07-22T00:07:05.000Z,273.12,1395.24,,
353,2019-07-22T00:07:06.000Z,336.03,1664.74,,
354,2019-07-22T00:07:07.000Z,329.64,2166.78,,
355,2019-07-22T00:07:08.000Z,271.35,1387.54,,
356,2019-07-22T00:07:09.000Z,275.12,1382.92,,
357,2019-07-22T00:07:10.000Z,271.12,1379.84,,
358,2019-07-22T00:07:11.000Z,271.19,1384.46,,
359,2019-07-22T00:07:12.000Z,271.5,1382.92,,
360,2019-07-22T00:07:13.000Z,273.2,1392.16,,
361,2019-07-22T00:07:14.000Z,270.42,1407.56,,
362,2019-07-22T00:07:15.000Z,272.04,1392.16,,
363,2019-07-22T00:07:16.000Z,278.36,1392.16,,
364,2019-07-22T00:07:17.000Z,273.35,1392.16,,
365,2019-07-22T00:07:18.000Z,272.81,1392.16,,
366,2019-07-22T00:07:19.000Z,273.04,1392.16,,
367,2019-07-22T00:07:20.000Z,293.76,1493.8,,
368,2019-07-22T00:07:21.000Z,270.04,1378.3,,
369,2019-07-22T00:07:22.000Z,266.5,1370.6,,
370,2019-07-22T00:07:23.000Z,268.04,1367.52,,
371,2019-07-22T00:07:24.000Z,269.5,1375.22,,
372,2019-07-22T00:07:25.000Z,267.81,1362.9,,
373,2019-07-22T00:07:26.000Z,269.73,1375.22,,
374,2019-07-22T00:07:27.000Z,267.5,1375.22,,
375,2019-07-22T00:07:28.000Z,271.19,1382.92,,
376,2019-07-22T00:07:29.000Z,270.73,1384.46,,
377,2019-07-22T00:07:30.000Z,268.5,1372.14,,
378,2019-07-22T00:07:31.000Z,270.12,1379.84,,
379,2019-07-22T00:07:32.000Z,267.96,1372.14,,
380,2019-07-22T00:07:33.000Z,271.04,1382.92,,
381,2019-07-22T00:07:34.000Z,268.04,1367.52,,
382,2019-07-22T00:07:35.000Z,271.04,1382.92,,
383,2019-07-22T00:07:36.000Z,267.73,1379.84,,
384,2019-07-22T00:07:37.000Z,267.65,1372.14,,
385,2019-07-22T00:07:38.000Z,272.43,1387.54,,
386,2019-07-22T00:07:39.000Z,270.35,1384.46,,
387,2019-07-22T00:07:40.000Z,274.89,1392.16,,
388,2019-07-22T00:07:41.000Z,269.35,1375.22,,
389,2019-07-22T00:07:42.000Z,268.96,1370.6,,
390,2019-07-22T00:07:43.000Z,270.5,1379.84,,
391,2019-07-22T00:07:44.000Z,267.65,1378.3,,
392,2019-07-22T00:07:45.000Z,270.42,1378.3,,
393,2019-07-22T00:07:46.000Z,270.96,1379.84,,
394,2019-07-22T00:07:47.000Z,318.78,1617,,
395,2019-07-22T00:07:48.000Z,267.11,1362.9,,
396,2019-07-22T00:07:49.000Z,267.73,1367.52,,
397,2019-07-22T00:07:50.000Z,270.65,1430.66,,
398,2019-07-22T00:07:51.000Z,270.73,1378.3,,
399,2019-07-22T00:07:52.000Z,270.81,1382.92,,
400,2019-07-22T00:07:53.000Z,268.96,1370.6,,
401,2019-07-22T00:07:54.000Z,269.96,1378.3,,
402,2019-07-22T00:07:56.000Z,270.35,1378.3,,
403,2019-07-22T00:07:57.000Z,271.66,1379.84,,
404,2019-07-22T00:07:58.000Z,268.5,1372.14,,
405,2019-07-22T00:07:59.000Z,270.81,1379.84,,
406,2019-07-22T00:08:00.000Z,269.5,1378.3,,
407,2019-07-22T00:08:01.000Z,320.4,1604.68,,
408,2019-07-22T00:08:02.000Z,269.5,1378.3,,
409,2019-07-22T00:08:03.000Z,272.19,1387.54,,
410,2019-07-22T00:08:04.000Z,268.19,1364.44,,
411,2019-07-22T00:08:05.000Z,292.91,1486.1,,
412,2019-07-22T00:08:06.000Z,267.81,1370.6,,
413,2019-07-22T00:08:07.000Z,270.35,1382.92,,
414,2019-07-22T00:08:08.000Z,271.19,1379.84,,
415,2019-07-22T00:08:09.000Z,275.89,1367.52,,
416,2019-07-22T00:08:10.000Z,269.42,1398.32,,
417,2019-07-22T00:08:11.000Z,269.73,1378.3,,
418,2019-07-22T00:08:12.000Z,267.96,1372.14,,
419,2019-07-22T00:08:13.000Z,272.19,1375.22,,
420,2019-07-22T00:08:14.000Z,270.96,1382.92,,
421,2019-07-22T00:08:15.000Z,271.89,1378.3,,
422,2019-07-22T00:08:16.000Z,268.35,1372.14,,
423,2019-07-22T00:08:17.000Z,270.65,1379.84,,
424,2019-07-22T00:08:18.000Z,268.04,1370.6,,
425,2019-07-22T00:08:19.000Z,268.65,1379.84,,
426,2019-07-22T00:08:20.000Z,267.34,1367.52,,
427,2019-07-22T00:08:21.000Z,421.27,2119.04,,
428,2019-07-22T00:08:22.000Z,294.76,1493.8,,
429,2019-07-22T00:08:23.000Z,270.35,1379.84,,
430,2019-07-22T00:08:24.000Z,409.87,2062.06,,
431,2019-07-22T00:08:25.000Z,411.72,2099.02,,
432,2019-07-22T00:08:26.000Z,413.41,2109.8,,
433,2019-07-22T00:08:27.000Z,384.69,1978.9,,
434,2019-07-22T00:08:28.000Z,357.97,1935.78,,
435,2019-07-22T00:08:29.000Z,419.57,1928.08,,
436,2019-07-22T00:08:30.000Z,422.58,2063.6,,
437,2019-07-22T00:08:31.000Z,426.96,2122.12,,
438,2019-07-22T00:08:32.000Z,318.63,1620.08,,
439,2019-07-22T00:08:33.000Z,339.34,1624.7,,
440,2019-07-22T00:08:34.000Z,348.5,1627.78,,
441,2019-07-22T00:08:35.000Z,413.41,2075.92,,
442,2019-07-22T00:08:36.000Z,416.65,2082.08,,
443,2019-07-22T00:08:37.000Z,414.11,2097.48,,
444,2019-07-22T00:08:38.000Z,419.26,2083.62,,
445,2019-07-22T00:08:39.000Z,425.89,2082.08,,
446,2019-07-22T00:08:40.000Z,411.87,2062.06,,
