2019-07-22T00:07:49.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:49.000Z', 0,6);"
2019-07-22T00:07:50.829Z,4,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:50.829Z', 4,6);"
2019-07-22T00:07:51.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:51.000Z', 0,6);"
2019-07-22T00:07:52.035Z,5,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:52.035Z', 5,6);"
2019-07-22T00:07:52.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:52.000Z', 0,6);"
2019-07-22T00:07:53.231Z,1,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:53.231Z', 1,7);"
2019-07-22T00:07:54.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:54.000Z', 0,7);"
2019-07-22T00:07:55.518Z,2,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:55.518Z', 2,7);"
2019-07-22T00:07:55.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:55.000Z', 0,7);"
2019-07-22T00:07:56.629Z,3,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:07:56.629Z', 3,7);"
2019-07-22T00:09:09.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:09.000Z', 0,7);"
2019-07-22T00:09:10.590Z,4,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:10.590Z', 4,7);"
2019-07-22T00:09:10.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:10.000Z', 0,7);"
2019-07-22T00:09:11.794Z,5,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:11.794Z', 5,7);"
2019-07-22T00:09:11.000Z,0,7,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:11.000Z', 0,7);"
2019-07-22T00:09:12.985Z,1,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:12.985Z', 1,8);"
2019-07-22T00:09:14.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:14.000Z', 0,8);"
2019-07-22T00:09:15.591Z,2,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:15.591Z', 2,8);"
2019-07-22T00:09:15.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:15.000Z', 0,8);"
2019-07-22T00:09:16.677Z,3,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:09:16.677Z', 3,8);"
2019-07-22T00:10:26.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:26.000Z', 0,8);"
2019-07-22T00:10:27.287Z,4,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:27.287Z', 4,8);"
2019-07-22T00:10:27.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:27.000Z', 0,8);"
2019-07-22T00:10:28.622Z,5,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:28.622Z', 5,8);"
2019-07-22T00:10:28.000Z,0,8,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:28.000Z', 0,8);"
2019-07-22T00:10:29.665Z,1,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:29.665Z', 1,9);"
2019-07-22T00:10:31.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:31.000Z', 0,9);"
2019-07-22T00:10:32.783Z,2,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:32.783Z', 2,9);"
2019-07-22T00:10:32.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:32.000Z', 0,9);"
2019-07-22T00:10:33.805Z,3,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:10:33.805Z', 3,9);"
2019-07-22T00:11:47.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:11:47.000Z', 0,9);"
2019-07-22T00:11:48.012Z,4,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:11:48.012Z', 4,9);"
2019-07-22T00:11:48.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:11:48.000Z', 0,9);"
2019-07-22T00:11:49.297Z,5,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:11:49.297Z', 5,9);"
2019-07-22T00:11:49.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:11:49.000Z', 0,9);"
2019-07-22T00:12:20.385Z,1,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:20.385Z', 1,1);"
2019-07-22T00:12:20.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:20.000Z', 0,1);"
2019-07-22T00:12:21.899Z,2,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:21.899Z', 2,1);"
2019-07-22T00:12:21.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:21.000Z', 0,1);"
2019-07-22T00:12:22.917Z,3,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:22.917Z', 3,1);"
2019-07-22T00:12:53.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:53.000Z', 0,1);"
2019-07-22T00:12:54.225Z,4,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:54.225Z', 4,1);"
2019-07-22T00:12:54.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:54.000Z', 0,1);"
2019-07-22T00:12:55.318Z,5,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:55.318Z', 5,1);"
2019-07-22T00:12:55.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:55.000Z', 0,1);"
2019-07-22T00:12:56.327Z,1,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:56.327Z', 1,2);"
2019-07-22T00:12:56.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:56.000Z', 0,2);"
2019-07-22T00:12:57.404Z,2,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:57.404Z', 2,2);"
2019-07-22T00:12:57.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:57.000Z', 0,2);"
2019-07-22T00:12:58.413Z,3,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:12:58.413Z', 3,2);"
2019-07-22T00:13:45.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:45.000Z', 0,2);"
2019-07-22T00:13:46.656Z,4,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:46.656Z', 4,2);"
2019-07-22T00:13:46.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:46.000Z', 0,2);"
2019-07-22T00:13:47.747Z,5,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:47.747Z', 5,2);"
2019-07-22T00:13:47.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:47.000Z', 0,2);"
2019-07-22T00:13:48.756Z,1,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:48.756Z', 1,3);"
2019-07-22T00:13:49.000Z,0,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:49.000Z', 0,3);"
2019-07-22T00:13:50.793Z,2,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:50.793Z', 2,3);"
2019-07-22T00:13:50.000Z,0,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:50.000Z', 0,3);"
2019-07-22T00:13:51.810Z,3,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:13:51.810Z', 3,3);"
2019-07-22T00:14:50.000Z,0,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:50.000Z', 0,3);"
2019-07-22T00:14:51.516Z,4,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:51.516Z', 4,3);"
2019-07-22T00:14:51.000Z,0,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:51.000Z', 0,3);"
2019-07-22T00:14:52.947Z,5,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:52.947Z', 5,3);"
2019-07-22T00:14:53.000Z,0,3,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:53.000Z', 0,3);"
2019-07-22T00:14:54.097Z,1,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:54.097Z', 1,4);"
2019-07-22T00:14:55.000Z,0,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:55.000Z', 0,4);"
2019-07-22T00:14:56.631Z,2,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:56.631Z', 2,4);"
2019-07-22T00:14:56.000Z,0,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:56.000Z', 0,4);"
2019-07-22T00:14:57.649Z,3,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:14:57.649Z', 3,4);"
2019-07-22T00:16:00.000Z,0,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:00.000Z', 0,4);"
2019-07-22T00:16:01.159Z,4,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:01.159Z', 4,4);"
2019-07-22T00:16:01.000Z,0,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:01.000Z', 0,4);"
2019-07-22T00:16:02.301Z,5,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:02.301Z', 5,4);"
2019-07-22T00:16:02.000Z,0,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:16:02.000Z', 0,4);"
