,predictedUtility,realUtility,award,lostUtility
156,724477.971905361,1782647.80379191,0.0,1782647.80379191
157,938306.6471986079,17547631.180815853,16769776.280815853,0.0
158,207975.12583229173,638484.5065661318,0.0,0.0
159,495396.46686224756,886176.9128052852,0.0,886176.9128052852
160,1335692.4606900562,4317469.536939124,3539614.6369391237,0.0
161,527932.833173156,2237648.610586111,0.0,2237648.610586111
162,143256.43306107188,488537.72677632887,0.0,0.0
163,432918.5415820686,1264588.2729288733,0.0,1264588.2729288733
164,610104.4681987127,1899312.3881464875,0.0,1899312.3881464875
165,174300.6977618006,641592.7391694078,0.0,0.0
166,136843.14774189115,386052.5987576251,0.0,0.0
167,1551197.9766068961,4604545.080971928,3826690.1809719284,0.0
168,286993.4987151312,910839.469223024,0.0,910839.469223024
169,238885.43829068096,737300.3950382365,0.0,0.0
170,949317.4920215849,3362803.003518794,2584948.1035187943,0.0
171,753429.0226682386,3135872.820511023,0.0,3135872.820511023
172,922535.1582984974,3520680.8417637753,2742825.9417637754,0.0
173,294815.23713091685,863796.808740388,0.0,863796.808740388
174,624079.5201981375,2432510.7870824216,0.0,2432510.7870824216
175,409917.4245713877,1658517.8931051316,0.0,1658517.8931051316
176,1321256.4553829087,3687104.028362188,2909249.128362188,0.0
177,1056190.5779508566,3928302.8119055363,3150447.9119055364,0.0
178,674685.5426904301,12923624.674217548,0.0,12923624.674217548
179,1088177.445185382,13963597.763180587,13185742.863180587,0.0
180,67955.59845572118,310898.32448497694,0.0,0.0
181,1024501.1473970959,3974125.0003041853,3196270.1003041854,0.0
182,981248.2336346682,3507484.0339532616,2729629.1339532617,0.0
183,59359.562166015065,136041.097326775,0.0,0.0
184,370483.49690280244,1951222.0816510355,0.0,1951222.0816510355
185,276213.9715678008,502903.87316021766,0.0,0.0
186,534549.9462610722,2025658.5961238467,0.0,2025658.5961238467
187,1590950.9487868699,3808401.9732680754,3030547.0732680755,0.0
188,469953.81774529425,1409708.357278112,0.0,1409708.357278112
189,727739.3985776654,2249249.2385047106,0.0,2249249.2385047106
190,1747745.4434909183,10924836.643701658,10146981.743701657,0.0
191,65518.08187124478,180504.04859249265,0.0,0.0
192,815942.4098300838,10536257.771340143,9758402.871340143,0.0
193,14286.429770947487,335410.6714109161,0.0,0.0
194,450189.72617610224,1949366.4996505512,0.0,1949366.4996505512
195,1833754.8015807676,11928686.145283828,11150831.245283827,0.0
196,1571744.6965731797,3751857.3282566755,2974002.4282566756,0.0
197,137291.8716558921,2664620.1138133775,0.0,2664620.1138133775
198,974185.3819983287,1934617.5272802769,1156762.6272802767,0.0
199,1438538.5480541354,16755410.948976206,15977556.048976205,0.0
200,1146293.3780960198,3908659.6111514727,3130804.7111514728,0.0
201,1151511.9276222198,25397003.189661536,24619148.289661538,0.0
202,16212.49371275157,40367.53254196724,0.0,0.0
203,1036366.7593057953,4001696.556099677,3223841.656099677,0.0
204,1303257.9590500584,5521082.33115902,4743227.4311590195,0.0
205,1294169.5438046071,4981857.655634523,4204002.755634523,0.0
206,592979.911565417,1296829.3883548423,0.0,1296829.3883548423
207,626732.9914557127,1739812.45819433,0.0,1739812.45819433
208,1191018.954304646,3939409.4610492196,3161554.5610492197,0.0
209,822718.912182178,3158578.7861762038,2380723.886176204,0.0
210,826809.8753976463,2765958.888284905,1988103.988284905,0.0
211,951187.4476916516,3008752.0114838015,2230897.1114838016,0.0
212,1704314.2599912784,5791797.230532844,5013942.330532843,0.0
213,937714.7425636593,2424638.1019862588,1646783.2019862588,0.0
214,1762921.4217270496,3688961.843859467,2911106.9438594673,0.0
215,1187715.4063800448,3821151.8310074625,3043296.9310074626,0.0
216,1258702.6106046785,4136502.581165883,3358647.6811658833,0.0
217,786335.473821559,2708329.0125039285,1930474.1125039286,0.0
218,1310277.726010562,4645584.511161462,3867729.6111614625,0.0
219,847370.4020399428,2395323.301959975,1617468.4019599753,0.0
220,139355.44415768574,5672456.3303750595,0.0,5672456.3303750595
221,218541.49597481516,695820.6828002102,0.0,0.0
222,1346102.652154401,3566681.6127444073,2788826.7127444074,0.0
223,1288027.233755349,13713185.794634711,12935330.89463471,0.0
224,573087.9113874239,2326446.851077686,0.0,2326446.851077686
225,1169648.7373372214,4596795.38693708,3818940.48693708,0.0
226,1443368.1273525665,3867789.591848755,3089934.691848755,0.0
227,338759.0937602427,1203566.4355406514,0.0,1203566.4355406514
228,543978.4313058926,1806006.6902724379,0.0,1806006.6902724379
229,439272.0547662431,1360849.400876377,0.0,1360849.400876377
230,1227339.3646667055,4539564.124805631,3761709.224805631,0.0
231,607243.255817955,2169448.4356645904,0.0,2169448.4356645904
232,1180991.0983063614,3820385.543682252,3042530.643682252,0.0
233,576023.3237310527,979894.3745664346,0.0,979894.3745664346
234,153023.076557484,422806.45724020404,0.0,0.0
235,1399547.3602983078,4666722.220663237,3888867.3206632375,0.0
236,94701.05421757585,366993.94487898925,0.0,0.0
237,68300.08046083133,1634483.5188219408,0.0,1634483.5188219408
238,539162.7800431327,1593648.519854403,0.0,1593648.519854403
239,875308.9900938317,16075886.751622736,15298031.851622736,0.0
240,1726225.8810588173,14692800.539044619,13914945.639044618,0.0
241,591195.6876382374,14862709.24321875,0.0,14862709.24321875
242,46524.25848589037,113724.33715107973,0.0,0.0
243,1240107.7934683817,4742351.344579515,3964496.444579515,0.0
244,754652.4140842169,2574386.9478665525,0.0,2574386.9478665525
245,303062.7735879673,4080762.756764967,0.0,4080762.756764967
246,1291015.062100446,22190303.40677402,21412448.506774023,0.0
247,1232146.1695177488,20952954.764775727,20175099.86477573,0.0
248,783635.2470349721,12091013.914760465,11313159.014760464,0.0
249,48567.88011968331,502184.00963884767,0.0,0.0
250,471299.7107300464,1749234.9080239409,0.0,1749234.9080239409
251,654214.1125546122,1984436.965070312,0.0,1984436.965070312
252,468302.66462192585,7080778.751798771,0.0,7080778.751798771
253,1047852.264375953,3247170.5144549017,2469315.614454902,0.0
254,1446270.5910091875,4535565.514262492,3757710.614262492,0.0
255,758882.0700183853,2379788.041929307,0.0,2379788.041929307
256,30004.972156825963,645095.5289839348,0.0,0.0
257,1738328.7646649552,5525749.230668342,4747894.330668341,0.0
258,1700554.6825021203,3669880.5889658877,2892025.6889658878,0.0
259,83635.6361293836,211786.7601023907,0.0,0.0
260,901521.8475923596,1915230.4260878162,1137375.5260878163,0.0
261,421246.0524936534,1457834.0170250097,0.0,1457834.0170250097
262,819891.1023696576,3403607.75077586,2625752.8507758602,0.0
263,145622.5486050596,587440.1817942426,0.0,0.0
264,1300099.5479689303,5808967.005534893,5031112.1055348925,0.0
265,255884.1301468176,2167503.546156047,0.0,2167503.546156047
266,757437.7937990703,3036887.8719023014,0.0,3036887.8719023014
267,241444.98871805018,3761822.202796388,0.0,3761822.202796388
268,179653.34389139884,432117.40824729437,0.0,0.0
269,645021.1807914325,2090866.790769958,0.0,2090866.790769958
270,599345.3595081808,1548845.820899605,0.0,1548845.820899605
271,41510.15557032795,703713.1796343836,0.0,0.0
272,692608.3040645117,1190601.0753247857,0.0,1190601.0753247857
273,664195.5855328254,2679100.6560257887,0.0,2679100.6560257887
274,520144.9426232923,16335023.568114785,0.0,16335023.568114785
275,397457.9140820982,5574904.2054750305,0.0,5574904.2054750305
276,1047550.2528354063,4804719.725514824,4026864.8255148237,0.0
277,581730.092032244,1950409.5166271825,0.0,1950409.5166271825
278,688352.000123106,5911175.00157104,0.0,5911175.00157104
