time_since_last_recording,latency,cost,reliability
2020-26-07 20:26:13.000996,6.365065097808838,26.7,1,265.0
2020-26-07 20:26:14.000165,6.419199705123901,27.2,1,0.0
2020-27-07 20:27:01.000769,6.634354829788208,25.4,1,47.0
2020-27-07 20:27:08.000730,6.518797874450684,26.1,1,6.0
2020-29-07 20:29:04.000811,6.687627553939819,25.7,1,116.0
2020-31-07 20:31:00.000684,6.535942792892456,25.6,1,115.0
2020-32-07 20:32:50.000726,6.484773635864258,26.6,1,110.0
2020-33-07 20:33:22.000707,6.551883220672607,27.1,1,31.0
2020-35-07 20:35:12.000460,7.528797388076782,22.9,1,109.0
2020-36-07 20:36:54.000877,6.42882776260376,27.0,1,102.0
2020-38-07 20:38:34.000818,6.501981496810913,26.6,1,99.0
2020-41-07 20:41:09.000814,6.486855983734131,27.1,1,154.0
2020-42-07 20:42:24.000641,6.599109411239624,26.3,1,74.0
2020-42-07 20:42:43.000494,6.386733770370483,26.2,1,18.0
2020-43-07 20:43:25.000412,6.367689609527588,26.4,1,41.0
2020-43-07 20:43:28.000870,6.609680414199829,25.3,1,3.0
2020-44-07 20:44:11.000307,6.532131671905518,26.5,1,42.0
2020-44-07 20:44:28.000314,6.382957220077515,26.5,1,17.0
2020-45-07 20:45:51.000816,6.441478252410889,26.7,1,83.0
2020-46-07 20:46:21.000992,6.696393251419067,25.8,1,30.0
2020-48-07 20:48:15.000731,6.39578914642334,27.0,1,113.0
2020-53-07 20:53:38.000436,6.466956615447998,26.4,1,322.0
2020-53-07 20:53:59.000904,6.529712677001953,26.3,1,21.0
2020-54-07 20:54:10.000954,8.54923415184021,20.7,1,11.0
2020-54-07 20:54:25.000937,6.5604705810546875,26.0,1,14.0
2020-54-07 20:54:52.000061,11.284682273864746,15.9,1,26.0
2020-56-07 20:56:09.000116,6.564150094985962,25.6,1,77.0
2020-57-07 20:57:22.000155,6.397119522094727,26.1,1,73.0
2020-59-07 20:59:08.000871,6.479244709014893,26.1,1,106.0
2020-59-07 20:59:50.000228,6.458564519882202,26.3,1,41.0
2020-00-07 21:00:17.000723,6.43802547454834,26.4,1,27.0
2020-01-07 21:01:16.000982,6.395160913467407,26.1,1,59.0
2020-04-07 21:04:21.000936,6.388833999633789,26.6,1,184.0
2020-05-07 21:05:30.000263,6.449381351470947,26.6,1,68.0
2020-07-07 21:07:26.000836,6.639108419418335,25.4,1,116.0
2020-09-07 21:09:17.000237,7.098590850830078,23.8,1,110.0
2020-10-07 21:10:26.000145,6.403296232223511,27.2,1,68.0
2020-11-07 21:11:14.000102,6.388452053070068,26.5,1,47.0
2020-13-07 21:13:54.000894,6.467586994171143,27.9,1,160.0
2020-15-07 21:15:58.000261,6.513117790222168,26.4,1,123.0
2020-16-07 21:16:48.000663,6.405775785446167,26.4,1,50.0
2020-19-07 21:19:29.000698,6.654259204864502,25.6,1,161.0
2020-20-07 21:20:08.000377,6.404294490814209,26.1,1,38.0
2020-21-07 21:21:47.000315,6.432025194168091,26.1,1,98.0
2020-22-07 21:22:54.000075,6.651126861572266,25.4,1,66.0
2020-23-07 21:23:09.000823,6.561652898788452,26.4,1,15.0
2020-25-07 21:25:19.000247,6.435525417327881,26.7,1,129.0
2020-27-07 21:27:29.000018,6.396287679672241,26.3,1,129.0
2020-28-07 21:28:15.000921,6.377287864685059,26.5,1,46.0
2020-28-07 21:28:35.000393,6.427957534790039,27.0,1,19.0
2020-29-07 21:29:57.000997,6.386734247207642,26.5,1,82.0
2020-32-07 21:32:17.000064,6.578494071960449,26.8,1,139.0
2020-33-07 21:33:35.000729,6.5708699226379395,25.8,1,78.0
2020-34-07 21:34:04.000355,6.502291202545166,26.3,1,28.0
2020-37-07 21:37:09.000062,6.3686723709106445,26.8,1,184.0
2020-37-07 21:37:53.000800,6.385483503341675,26.2,1,44.0
2020-38-07 21:38:01.000581,6.469376802444458,26.3,1,7.0
2020-38-07 21:38:03.000099,7.27674674987793,23.8,1,1.0
2020-40-07 21:40:00.000776,6.494644403457642,26.1,1,117.0
2020-41-07 21:41:00.000319,6.437830686569214,26.9,1,59.0
2020-41-07 21:41:51.000546,6.486802577972412,27.4,1,51.0
2020-43-07 21:43:05.000414,7.808923721313477,21.9,1,73.0
2020-44-07 21:44:55.000108,6.5556604862213135,26.3,1,109.0
2020-45-07 21:45:45.000179,6.394028663635254,26.5,1,50.0
2020-47-07 21:47:14.000541,6.529615879058838,26.4,1,89.0
2020-47-07 21:47:51.000841,6.4063029289245605,26.3,1,37.0
2020-49-07 21:49:08.000454,6.438382387161255,26.1,1,76.0
2020-49-07 21:49:16.000311,6.374106407165527,26.3,1,7.0
2020-53-07 21:53:23.000238,6.63689112663269,26.4,1,246.0
2020-54-07 21:54:37.000169,6.382958650588989,27.3,1,73.0
2020-59-07 21:59:22.000236,6.57142186164856,25.4,1,285.0
2020-00-07 22:00:29.000580,6.4007651805877686,26.5,1,67.0
2020-01-07 22:01:25.000521,6.4963884353637695,26.3,1,55.0
2020-01-07 22:01:56.000219,6.369503021240234,26.5,1,30.0
2020-02-07 22:02:39.000255,6.488105297088623,26.2,1,43.0
2020-02-07 22:02:53.000818,6.534237384796143,26.6,1,14.0
2020-05-07 22:05:10.000067,6.482401371002197,25.9,1,136.0
2020-06-07 22:06:32.000708,6.5704896450042725,26.2,1,82.0
2020-08-07 22:08:54.000492,6.402408838272095,27.8,1,141.0
2020-09-07 22:09:14.000133,6.553467035293579,26.7,1,19.0
2020-11-07 22:11:16.000330,6.498245000839233,25.6,1,122.0
2020-12-07 22:12:39.000475,6.472454071044922,25.8,1,83.0
2020-15-07 22:15:21.000381,6.508359670639038,26.2,1,161.0
2020-15-07 22:15:51.000177,9.383268356323242,19.0,1,29.0
2020-16-07 22:16:42.000812,9.383019924163818,18.2,1,51.0
2020-17-07 22:17:32.000874,6.389289140701294,26.4,1,50.0
2020-20-07 22:20:46.000134,6.59505033493042,26.4,1,193.0
2020-21-07 22:21:09.000281,6.569149494171143,27.7,1,23.0
2020-26-07 22:26:11.000935,8.518699884414673,20.0,1,302.0
2020-26-07 22:26:40.000709,6.418616771697998,26.1,1,28.0
2020-27-07 22:27:24.000959,6.434605598449707,25.9,1,44.0
2020-28-07 22:28:31.000003,6.457516670227051,26.8,1,66.0
2020-29-07 22:29:15.000362,6.492313385009766,27.3,1,44.0
2020-29-07 22:29:50.000738,6.485137701034546,26.7,1,35.0
2020-30-07 22:30:59.000587,6.403092622756958,26.3,1,68.0
2020-34-07 22:34:10.000553,6.467831134796143,26.5,1,190.0
2020-35-07 22:35:44.000890,6.578258991241455,27.0,1,94.0
2020-36-07 22:36:58.000885,6.472649812698364,26.1,1,73.0
2020-38-07 22:38:41.000497,6.494053363800049,26.5,1,102.0
2020-40-07 22:40:16.000331,6.590636491775513,26.1,1,94.0
2020-40-07 22:40:35.000203,6.558364391326904,26.4,1,18.0
2020-40-07 22:40:50.000257,6.429064750671387,26.6,1,15.0
2020-41-07 22:41:41.000424,6.493768215179443,25.6,1,51.0
2020-43-07 22:43:32.000148,6.44490909576416,26.0,1,110.0
2020-43-07 22:43:59.000375,6.567744016647339,26.4,1,27.0
2020-44-07 22:44:10.000168,6.503796815872192,26.7,1,10.0
2020-51-07 22:51:13.000149,6.372259616851807,26.6,1,422.0
2020-51-07 22:51:13.000476,6.50327205657959,27.4,1,0.0
2020-53-07 22:53:25.000594,6.436791658401489,26.6,1,132.0
2020-56-07 22:56:13.000456,6.428016185760498,26.7,1,167.0
2020-56-07 22:56:38.000080,7.510876178741455,23.1,1,24.0
2020-58-07 22:58:01.000313,6.428459882736206,25.9,1,83.0
2020-58-07 22:58:39.000897,6.501620769500732,27.2,1,38.0
2020-59-07 22:59:11.000493,6.646116256713867,25.3,1,31.0
2020-00-07 23:00:32.000156,6.4638752937316895,26.7,1,80.0
2020-01-07 23:01:51.000545,6.452515125274658,26.7,1,79.0
2020-02-07 23:02:19.000313,6.505702495574951,27.1,1,27.0
2020-03-07 23:03:00.000728,6.45737099647522,26.2,1,41.0
2020-03-07 23:03:21.000344,6.645093679428101,25.8,1,20.0
2020-04-07 23:04:08.000252,6.588165044784546,26.8,1,46.0
2020-07-07 23:07:35.000657,6.4027416706085205,26.1,1,207.0
2020-08-07 23:08:48.000716,7.914180755615234,21.9,1,73.0
2020-09-07 23:09:07.000668,6.466066598892212,25.9,1,18.0
2020-10-07 23:10:50.000994,6.37191104888916,26.1,1,103.0
2020-12-07 23:12:00.000943,6.567746639251709,26.8,1,69.0
2020-13-07 23:13:06.000911,6.639150142669678,26.0,1,65.0
2020-14-07 23:14:31.000595,6.646211385726929,25.7,1,84.0
2020-15-07 23:15:17.000089,6.371585369110107,26.8,1,45.0
2020-17-07 23:17:49.000800,6.398428201675415,26.4,1,152.0
2020-19-07 23:19:59.000466,6.460246801376343,26.1,1,129.0
2020-21-07 23:21:37.000802,6.471964120864868,27.4,1,98.0
2020-23-07 23:23:27.000243,6.601297378540039,26.0,1,109.0
2020-25-07 23:25:35.000150,6.592912912368774,25.9,1,127.0
2020-25-07 23:25:46.000325,6.629009246826172,26.2,1,11.0
2020-26-07 23:26:14.000335,6.475839853286743,26.7,1,28.0
2020-27-07 23:27:36.000264,6.466846704483032,26.0,1,81.0
2020-33-07 23:33:42.000244,6.401216745376587,26.9,1,365.0
2020-33-07 23:33:55.000491,6.370666742324829,26.8,1,13.0
2020-34-07 23:34:53.000707,6.368839502334595,25.9,1,58.0
2020-35-07 23:35:32.000943,10.98628282546997,16.1,1,39.0
2020-35-07 23:35:52.000706,6.434016704559326,26.4,1,19.0
2020-37-07 23:37:30.000909,6.48414421081543,26.8,1,98.0
2020-41-07 23:41:16.000368,6.631200075149536,25.2,1,225.0
2020-41-07 23:41:44.000618,6.539576530456543,26.9,1,28.0
2020-41-07 23:41:47.000295,6.487550258636475,26.3,1,2.0
2020-43-07 23:43:19.000453,6.425347089767456,25.9,1,92.0
2020-45-07 23:45:05.000822,6.402704477310181,26.8,1,106.0
2020-45-07 23:45:28.000726,6.497985601425171,26.0,1,22.0
2020-48-07 23:48:50.000256,6.4462175369262695,25.7,1,201.0
2020-50-07 23:50:53.000383,6.497714519500732,25.7,1,123.0
2020-52-07 23:52:21.000941,6.432648658752441,25.6,1,88.0
2020-52-07 23:52:32.000236,6.5710060596466064,25.7,1,10.0
2020-53-07 23:53:52.000363,8.599828243255615,19.6,1,80.0
2020-55-07 23:55:23.000550,6.345915794372559,25.9,1,91.0
2020-55-07 23:55:25.000564,6.57750129699707,26.2,1,2.0
2020-56-07 23:56:02.000315,6.377843141555786,26.0,1,36.0
2020-57-07 23:57:46.000770,6.585037469863892,26.6,1,104.0
2020-58-07 23:58:03.000223,6.521917819976807,25.9,1,16.0
2020-59-07 23:59:17.000062,6.383465051651001,26.1,1,73.0
2020-00-08 00:00:39.000439,6.396198511123657,26.3,1,82.0
2020-00-08 00:00:44.000450,6.373514652252197,27.2,1,5.0
2020-03-08 00:03:40.000929,6.507620573043823,26.0,1,176.0
2020-06-08 00:06:30.000921,6.400070905685425,26.2,1,169.0
2020-06-08 00:06:40.000928,6.413258790969849,26.0,1,10.0
2020-06-08 00:06:41.000375,6.502145051956177,25.8,1,0.0
2020-08-08 00:08:36.000139,6.572103977203369,25.4,1,114.0
2020-09-08 00:09:02.000644,6.564157009124756,25.8,1,26.0
2020-09-08 00:09:23.000154,6.361508369445801,25.9,1,20.0
2020-15-08 00:15:54.000931,6.489829778671265,25.6,1,391.0
2020-16-08 00:16:50.000527,11.213306188583374,15.3,1,55.0
2020-17-08 00:17:59.000378,6.376607656478882,26.9,1,68.0
2020-19-08 00:19:18.000711,6.381341457366943,26.3,1,79.0
2020-21-08 00:21:52.000359,6.402438163757324,26.3,1,153.0
2020-22-08 00:22:54.000461,6.5745604038238525,25.4,1,62.0
2020-24-08 00:24:35.000890,6.407280921936035,26.0,1,101.0
2020-25-08 00:25:14.000514,6.453274488449097,26.2,1,38.0
2020-27-08 00:27:06.000997,6.40939998626709,25.9,1,112.0
2020-29-08 00:29:50.000310,6.360065937042236,26.1,1,163.0
2020-30-08 00:30:03.000525,6.361399412155151,26.6,1,13.0
2020-31-08 00:31:17.000952,6.535294055938721,26.0,1,74.0
2020-32-08 00:32:39.000724,6.4275431632995605,26.5,1,81.0
2020-32-08 00:32:58.000275,6.538326025009155,26.5,1,18.0
2020-33-08 00:33:51.000924,6.539243936538696,25.7,1,53.0
2020-34-08 00:34:25.000101,6.527360677719116,25.8,1,33.0
2020-34-08 00:34:49.000608,6.411924600601196,27.2,1,24.0
2020-35-08 00:35:25.000804,6.466114282608032,26.2,1,36.0
2020-37-08 00:37:12.000338,6.528397083282471,25.7,1,106.0
2020-37-08 00:37:55.000507,6.485071659088135,26.4,1,43.0
2020-39-08 00:39:40.000247,6.413146734237671,26.0,1,104.0
2020-42-08 00:42:12.000778,6.4824395179748535,25.7,1,152.0
2020-42-08 00:42:56.000650,6.537219047546387,25.7,1,43.0
2020-44-08 00:44:23.000859,6.388427495956421,26.0,1,87.0
2020-45-08 00:45:40.000794,6.362011194229126,26.0,1,76.0
2020-47-08 00:47:46.000505,6.363742351531982,26.3,1,125.0
2020-47-08 00:47:48.000377,6.493722200393677,27.0,1,1.0
2020-48-08 00:48:20.000023,6.391445875167847,26.1,1,31.0
2020-49-08 00:49:21.000073,6.417914390563965,25.9,1,61.0
2020-49-08 00:49:48.000711,6.608988523483276,26.0,1,27.0
2020-52-08 00:52:49.000066,6.453898191452026,26.7,1,180.0
2020-52-08 00:52:57.000556,6.407477855682373,27.0,1,8.0
2020-54-08 00:54:56.000985,6.425713777542114,26.9,1,119.0
2020-56-08 00:56:03.000317,6.491876125335693,26.5,1,66.0
2020-56-08 00:56:39.000516,6.480293035507202,26.2,1,36.0
2020-57-08 00:57:43.000384,6.493930339813232,26.0,1,63.0
2020-59-08 00:59:20.000403,6.463013172149658,26.5,1,97.0
2020-01-08 01:01:38.000861,6.375485897064209,26.3,1,138.0
