timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time
2020-04-07 18:27:19.000181,8.0,6.017496824264526,3.7,1,2020-04-07 18:26:26.000180,53.0,1,8.907
2020-04-07 18:28:47.000513,88.0,4.720030784606934,4.0,1,2020-04-07 18:28:36.000877,10.0,1,8.786
2020-04-07 18:31:58.000788,191.0,5.824731349945068,3.0,1,2020-04-07 18:31:26.000744,32.0,1,8.839
2020-04-07 18:32:03.000793,5.0,5.325948238372803,3.2,1,2020-04-07 18:31:26.000744,37.0,1,8.839
2020-04-07 18:32:20.000265,16.0,6.393566608428955,3.8,1,2020-04-07 18:31:26.000744,53.0,1,8.839
2020-04-07 18:34:55.000707,155.0,5.155717611312866,3.0,1,2020-04-07 18:34:16.000886,38.0,1,8.89
2020-04-07 18:37:33.000850,158.0,4.883377313613892,3.9,1,2020-04-07 18:37:30.000560,3.0,1,8.801
2020-04-07 18:37:36.000521,2.0,7.811450958251953,3.1,1,2020-04-07 18:37:30.000560,5.0,1,8.801
2020-04-07 18:39:55.000516,138.0,5.605145692825317,3.6,1,2020-04-07 18:39:26.000530,28.0,1,8.809
2020-04-07 18:41:42.000491,106.0,5.015362977981567,4.1,1,2020-04-07 18:40:59.000111,43.0,1,8.888
2020-04-07 18:42:10.000245,27.0,5.437376499176025,3.3,1,2020-04-07 18:40:59.000111,71.0,1,8.888
2020-04-07 18:43:34.000561,84.0,4.947536468505859,3.8,1,2020-04-07 18:43:15.000181,19.0,1,8.728
2020-04-07 18:44:26.000582,52.0,4.854780435562134,3.7,1,2020-04-07 18:43:57.000271,29.0,1,9.648
2020-04-07 18:44:59.000728,33.0,5.092750549316406,3.4,1,2020-04-07 18:43:57.000271,62.0,1,9.648
2020-04-07 18:45:31.000010,31.0,4.8061559200286865,3.7,1,2020-04-07 18:45:08.000814,22.0,1,10.421
2020-04-07 18:47:06.000973,95.0,4.673484563827515,3.3,1,2020-04-07 18:46:10.000572,56.0,1,8.757
2020-04-07 18:48:13.000519,66.0,3.8542466163635254,4.0,1,2020-04-07 18:47:51.000770,21.0,1,40.642
2020-04-07 18:49:08.000501,54.0,4.948944807052612,3.1,1,2020-04-07 18:49:05.000972,2.0,1,10.194
2020-04-07 18:49:17.000237,8.0,4.4581382274627686,4.2,1,2020-04-07 18:49:05.000972,11.0,1,10.194
2020-04-07 18:50:31.000063,73.0,6.810439348220825,3.1,1,2020-04-07 18:49:05.000972,85.0,1,10.194
2020-04-07 18:52:24.000550,113.0,5.1732497215271,3.3,1,2020-04-07 18:52:22.000615,1.0,1,8.939
2020-04-07 18:52:36.000734,12.0,4.312206745147705,4.7,1,2020-04-07 18:52:22.000615,14.0,1,8.939
2020-04-07 18:54:01.000194,84.0,5.2598021030426025,3.7,1,2020-04-07 18:52:38.000287,82.0,1,8.689
2020-04-07 18:54:41.000698,40.0,5.700283050537109,3.4,1,2020-04-07 18:52:38.000287,123.0,1,8.689
2020-04-07 18:55:23.000451,41.0,4.990531921386719,3.4,1,2020-04-07 18:52:38.000287,165.0,1,8.689
2020-04-07 18:55:27.000147,3.0,5.538003921508789,3.7,1,2020-04-07 18:52:38.000287,168.0,1,8.689
2020-04-07 18:56:38.000170,71.0,5.21532130241394,3.3,1,2020-04-07 18:56:28.000225,9.0,1,8.892
2020-04-07 18:56:41.000036,2.0,5.567664384841919,3.5,1,2020-04-07 18:56:28.000225,12.0,1,8.892
2020-04-07 18:58:49.000513,128.0,5.185214042663574,4.6,1,2020-04-07 18:56:28.000225,141.0,1,8.892
2020-04-07 18:58:57.000233,7.0,5.907038688659668,3.1,1,2020-04-07 18:56:28.000225,149.0,1,8.892
2020-04-07 19:04:04.000329,307.0,7.551806926727295,2.8,1,2020-04-07 19:04:02.000268,2.0,1,8.911
2020-04-07 19:04:07.000018,2.0,6.899294137954712,2.8,1,2020-04-07 19:04:02.000268,4.0,1,8.911
2020-04-07 19:04:25.000181,18.0,8.521523475646973,2.5,1,2020-04-07 19:04:18.000302,6.0,1,8.928
2020-04-07 19:04:46.000885,21.0,13.57767367362976,2.5,1,2020-04-07 19:04:18.000302,28.0,1,8.928
2020-04-07 19:04:52.000989,6.0,7.485221862792969,2.5,1,2020-04-07 19:04:18.000302,34.0,1,8.928
2020-04-07 19:06:16.000160,83.0,5.679415702819824,3.7,1,2020-04-07 19:06:15.000081,1.0,1,9.077
2020-04-07 19:06:40.000688,24.0,8.536718130111694,2.1,1,2020-04-07 19:06:15.000081,25.0,1,9.077
2020-04-07 19:07:21.000855,41.0,11.06420087814331,2.8,1,2020-04-07 19:06:57.000147,24.0,1,8.984
2020-04-07 19:07:37.000196,15.0,6.868515253067017,3.3,1,2020-04-07 19:06:57.000147,40.0,1,8.984
2020-04-07 19:07:57.000286,20.0,10.186017036437988,2.7,1,2020-04-07 19:07:40.000929,16.0,1,8.705
2020-04-07 19:08:11.000327,14.0,10.99656867980957,2.3,1,2020-04-07 19:07:40.000929,30.0,1,8.705
2020-04-07 19:10:01.000149,109.0,7.835619688034058,2.7,1,2020-04-07 19:07:40.000929,140.0,1,8.705
2020-04-07 19:10:35.000816,34.0,7.5785393714904785,2.6,1,2020-04-07 19:10:18.000966,16.0,1,8.867
2020-04-07 19:10:39.000939,4.0,6.768328428268433,3.2,1,2020-04-07 19:10:18.000966,20.0,1,8.867
2020-04-07 19:13:08.000038,148.0,8.341338634490967,3.5,1,2020-04-07 19:12:16.000593,51.0,1,9.159
2020-04-07 19:14:40.000546,92.0,7.983102798461914,3.0,1,2020-04-07 19:14:13.000007,27.0,1,8.803
2020-04-07 19:15:47.000494,66.0,21.082380056381226,1.8,1,2020-04-07 19:14:13.000007,94.0,1,8.803
2020-04-07 19:16:50.000843,63.0,11.459510326385498,2.9,1,2020-04-07 19:14:13.000007,157.0,1,8.803
2020-04-07 19:23:45.000860,415.0,6.134115695953369,3.2,1,2020-04-07 19:22:05.000752,100.0,1,8.965
2020-04-07 19:23:55.000187,9.0,6.1604766845703125,3.8,1,2020-04-07 19:23:49.000597,5.0,1,8.867
2020-04-07 19:24:20.000935,25.0,17.799957513809204,2.2,1,2020-04-07 19:23:49.000597,31.0,1,8.867
2020-04-07 19:24:24.000967,4.0,17.4048969745636,1.9,1,2020-04-07 19:23:49.000597,35.0,1,8.867
2020-04-07 19:25:22.000843,57.0,8.520134449005127,2.8,1,2020-04-07 19:24:54.000896,27.0,1,8.836
2020-04-07 19:25:34.000217,11.0,7.117079734802246,3.2,1,2020-04-07 19:24:54.000896,39.0,1,8.836
2020-04-07 19:26:37.000353,63.0,11.494975090026855,2.9,1,2020-04-07 19:26:35.000888,1.0,1,8.842
2020-04-07 19:29:22.000841,165.0,7.255672454833984,3.0,1,2020-04-07 19:29:04.000970,17.0,1,8.739
2020-04-07 19:29:56.000613,33.0,9.697457313537598,2.9,1,2020-04-07 19:29:04.000970,51.0,1,8.739
2020-04-07 19:30:15.000319,18.0,5.490373373031616,3.3,1,2020-04-07 19:29:04.000970,70.0,1,8.739
2020-04-07 19:31:26.000115,70.0,8.320438623428345,1.9,1,2020-04-07 19:29:04.000970,141.0,1,8.739
2020-04-07 19:31:49.000834,23.0,5.291228294372559,3.9,1,2020-04-07 19:29:04.000970,164.0,1,8.739
2020-04-07 19:32:27.000175,37.0,9.610307455062866,2.6,1,2020-04-07 19:29:04.000970,202.0,1,8.739
2020-04-07 19:32:27.000225,0.0,4.741828918457031,4.4,1,2020-04-07 19:29:04.000970,202.0,1,8.739
2020-04-07 19:33:45.000465,78.0,6.5804736614227295,2.7,1,2020-04-07 19:29:04.000970,280.0,1,8.739
2020-04-07 19:36:03.000508,138.0,6.596222639083862,4.2,1,2020-04-07 19:35:56.000912,6.0,1,8.821
2020-04-07 19:36:06.000184,2.0,5.660469055175781,5.0,1,2020-04-07 19:35:56.000912,9.0,1,8.821
