time_since_last_recording,latency,cost,reliability,time_since_last_ping,last_ping
-290.0,1.694230079650879,9.2,1,0.0,1.0
516.0,1.8197295665740967,8.6,1,425.0,1.0
-40.0,1.7211732864379883,9.9,1,385.0,1.0
97.0,1.7023732662200928,8.4,1,482.0,1.0
203.0,1.8617117404937744,8.4,1,522.0,1.0
236.0,1.8448712825775146,8.7,1,6.0,1.0
-444.0,1.8868916034698486,9.0,1,0.0,1.0
175.0,1.7176017761230469,9.0,1,0.0,1.0
-337.0,1.83768892288208,8.4,1,0.0,1.0
418.0,1.6814632415771484,8.4,1,0.0,1.0
315.0,1.708137035369873,8.2,1,135.0,1.0
-350.0,1.693002462387085,7.9,1,0.0,1.0
539.0,1.7067713737487793,8.5,1,421.0,1.0
-220.0,1.7206945419311523,9.0,1,201.0,1.0
-109.0,1.6904628276824951,8.3,1,92.0,1.0
268.0,1.8273448944091797,8.6,1,360.0,1.0
-206.0,1.6981120109558105,8.9,1,153.0,1.0
444.0,1.7203700542449951,8.3,1,72.0,1.0
54.0,1.8277039527893066,8.6,1,51.0,1.0
-464.0,1.86519193649292,8.5,1,0.0,1.0
712.0,1.7379086017608643,9.5,1,328.0,1.0
55.0,1.7445480823516846,8.6,1,384.0,1.0
51.0,1.718092918395996,8.9,1,17.0,1.0
-76.0,1.8523235321044922,8.6,1,0.0,1.0
558.0,1.7609293460845947,9.1,1,384.0,1.0
-122.0,1.8263533115386963,8.7,1,262.0,1.0
-354.0,1.6793091297149658,9.3,1,0.0,1.0
650.0,1.8169136047363281,8.9,1,558.0,1.0
35.0,1.6875925064086914,8.2,1,593.0,1.0
-645.0,1.838573932647705,8.7,1,0.0,1.0
578.0,1.8437423706054688,8.7,1,527.0,1.0
21.0,1.8394598960876465,9.0,1,548.0,1.0
-615.0,1.7104971408843994,9.2,1,0.0,1.0
612.0,1.809910774230957,9.0,1,545.0,1.0
-235.0,1.9425926208496094,8.7,1,310.0,1.0
723.0,1.7309012413024902,8.8,1,173.0,1.0
53.0,1.8854007720947266,8.4,1,546.0,1.0
-807.0,1.7124712467193604,9.4,1,0.0,1.0
52.0,1.8588292598724365,9.6,1,0.0,1.0
184.0,1.886193037033081,8.7,1,0.0,1.0
385.0,1.9736888408660889,8.5,1,361.0,1.0
351.0,1.7198700904846191,9.1,1,429.0,1.0
-655.0,1.8279590606689453,8.4,1,0.0,1.0
456.0,1.6842305660247803,8.5,1,230.0,1.0
413.0,1.695930004119873,8.2,1,231.0,1.0
-628.0,1.7090868949890137,8.8,1,0.0,1.0
801.0,1.8879225254058838,8.7,1,405.0,1.0
