time_since_last_recording,latency,cost,reliability
783.0,0.1794116497039795,25.3,1
-834.0,0.18161487579345703,25.0,1
280.0,0.1823873519897461,25.0,1
712.0,0.17627334594726562,25.7,1
-419.0,0.17951059341430664,25.3,1
-5.0,0.17891740798950195,25.3,1
-81.0,0.17974114418029785,25.3,1
280.0,0.17887258529663086,25.3,1
264.0,0.17911887168884277,25.3,1
-502.0,0.1788496971130371,25.3,1
266.0,0.18938040733337402,30.4,1
569.0,0.17888474464416504,25.3,1
-599.0,0.17665624618530273,25.7,1
345.0,0.17713236808776855,24.7,1
641.0,0.17917847633361816,24.3,1
-525.0,0.17265558242797852,27.0,1
-241.0,0.17696666717529297,24.7,1
946.0,0.17685246467590332,24.7,1
-677.0,0.17950749397277832,25.3,1
702.0,0.17438316345214844,25.0,1
-563.0,0.1760091781616211,26.0,1
171.0,0.18219494819641113,25.0,1
507.0,0.17905187606811523,25.3,1
-286.0,0.18004131317138672,26.7,1
-35.0,0.1733393669128418,25.0,1
44.0,0.17322659492492676,25.0,1
18.0,0.17559099197387695,24.7,1
497.0,0.17344975471496582,26.0,1
-82.0,0.17581462860107422,25.7,1
-253.0,0.17943549156188965,24.3,1
651.0,0.17853856086730957,24.3,1
-128.0,0.18074917793273926,25.3,1
442.0,0.1784360408782959,24.3,1
-403.0,0.17581915855407715,30.1,1
11.0,0.17855215072631836,25.3,1
293.0,0.17656779289245605,24.7,1
-574.0,0.1833505630493164,25.0,1
138.0,0.1900932788848877,25.3,1
651.0,0.18154454231262207,25.3,1
11.0,0.17719173431396484,25.7,1
256.0,0.17344307899475098,25.0,1
8.0,0.1757972240447998,25.7,1
-284.0,0.23244333267211914,25.3,1
-62.0,0.18314838409423828,25.0,1
253.0,0.17978405952453613,24.3,1
452.0,0.1795210838317871,25.3,1
-716.0,0.17730045318603516,24.3,1
396.0,0.17303013801574707,25.4,1
434.0,0.17707467079162598,24.7,1
-172.0,0.1816575527191162,25.3,1
-451.0,0.1727137565612793,25.0,1
371.0,0.17684340476989746,24.7,1
48.0,0.1729443073272705,25.0,1
159.0,0.1824629306793213,25.0,1
-88.0,0.17458772659301758,29.6,1
464.0,0.17587685585021973,25.7,1
-347.0,0.17344331741333008,27.0,1
679.0,0.17347264289855957,26.0,1
-17.0,0.17575526237487793,27.4,1
-370.0,0.1762080192565918,25.7,1
-96.0,0.18012642860412598,25.3,1
185.0,0.17560410499572754,25.0,1
676.0,0.18311786651611328,25.0,1
-100.0,0.18237996101379395,25.0,1
-2.0,0.1749563217163086,24.7,1
-399.0,0.17869091033935547,25.3,1
308.0,0.1810312271118164,24.0,1
230.0,0.17664575576782227,24.7,1
58.0,0.1742398738861084,26.0,1
57.0,0.1741948127746582,25.0,1
-282.0,0.17590546607971191,25.7,1
-67.0,0.17530512809753418,24.7,1
364.0,0.17339444160461426,25.0,1
213.0,0.17579984664916992,25.7,1
48.0,0.17695379257202148,25.3,1
-309.0,0.17940211296081543,24.3,1
699.0,0.17987942695617676,25.3,1
74.0,0.17624235153198242,25.7,1
89.0,0.18168020248413086,25.0,1
-403.0,0.18172693252563477,25.0,1
619.0,0.1788008213043213,30.7,1
-246.0,0.17596769332885742,25.7,1
-473.0,0.17780065536499023,25.3,1
135.0,0.17413902282714844,24.7,1
192.0,0.17306113243103027,25.0,1
465.0,0.1763012409210205,24.7,1
-127.0,0.17309999465942383,25.0,1
-317.0,0.17397284507751465,30.6,1
880.0,0.17296934127807617,25.0,1
-450.0,0.17723631858825684,25.3,1
424.0,0.17636537551879883,24.7,1
276.0,0.17713665962219238,25.7,1
-540.0,0.172760009765625,25.0,1
-180.0,0.17549586296081543,25.0,1
809.0,0.17773962020874023,29.7,1
-710.0,0.18065977096557617,26.7,1
621.0,0.1738600730895996,26.0,1
174.0,0.1734921932220459,25.0,1
-593.0,0.1796586513519287,25.7,1
285.0,0.17535972595214844,24.7,1
735.0,0.17297720909118652,25.0,1
-681.0,0.18017983436584473,25.3,1
583.0,0.18054938316345215,30.3,1
-48.0,0.17563962936401367,24.7,1
-81.0,0.17830157279968262,25.3,1
444.0,0.1753988265991211,25.7,1
-413.0,0.177504301071167,25.3,1
-286.0,0.18065881729125977,25.3,1
152.0,0.17806077003479004,24.7,1
366.0,0.17583394050598145,24.7,1
437.0,0.173112154006958,25.0,1
248.0,0.17304348945617676,25.0,1
-39.0,0.17404890060424805,25.0,1
-446.0,0.17898797988891602,25.3,1
-27.0,0.17687630653381348,24.7,1
-131.0,0.17527985572814941,24.7,1
8.0,0.17726421356201172,26.0,1
194.0,0.17882347106933594,27.6,1
-103.0,0.17886137962341309,30.7,1
132.0,0.1770932674407959,25.7,1
796.0,0.17327284812927246,25.0,1
-312.0,0.17513656616210938,26.7,1
-338.0,0.1739063262939453,24.7,1
445.0,0.17709088325500488,24.7,1
201.0,0.17415404319763184,27.4,1
289.0,0.18499064445495605,25.0,1
-649.0,0.1768643856048584,27.0,1
949.0,0.18130111694335938,25.0,1
15.0,0.17304205894470215,25.0,1
-523.0,0.18003439903259277,25.3,1
573.0,0.17356300354003906,25.0,1
2.0,0.17578577995300293,25.7,1
-304.0,0.1734778881072998,25.0,1
636.0,0.18027353286743164,29.7,1
-386.0,0.17686247825622559,25.7,1
351.0,0.1782820224761963,25.7,1
372.0,0.17350363731384277,26.0,1
-302.0,0.17592239379882812,24.7,1
-90.0,0.1767716407775879,24.7,1
570.0,0.18233466148376465,29.3,1
52.0,0.17595267295837402,28.8,1
-658.0,0.17338156700134277,24.7,1
131.0,0.17890501022338867,27.0,1
400.0,0.17824769020080566,30.7,1
-37.0,0.18072915077209473,24.3,1
378.0,0.18232154846191406,30.8,1
-510.0,0.1809995174407959,25.3,1
472.0,0.17823266983032227,24.3,1
499.0,0.17673420906066895,27.4,1
-665.0,0.17304563522338867,25.0,1
57.0,0.18573331832885742,26.0,1
60.0,0.179398775100708,24.3,1
262.0,0.17991209030151367,25.7,1
498.0,0.17525315284729004,24.7,1
-298.0,0.1910400390625,25.0,1
609.0,0.17322039604187012,25.0,1
-307.0,0.17837238311767578,29.7,1
-197.0,0.18202829360961914,25.0,1
279.0,0.17772531509399414,24.3,1
197.0,0.182328462600708,25.0,1
468.0,0.17249846458435059,25.0,1
-41.0,0.17911243438720703,25.7,1
-4.0,0.1736440658569336,27.4,1
426.0,0.17760086059570312,24.7,1
-649.0,0.17604517936706543,24.7,1
562.0,0.17325115203857422,24.7,1
25.0,0.18686819076538086,25.6,1
-182.0,0.17334437370300293,25.0,1
292.0,0.18304991722106934,30.3,1
-121.0,0.18159103393554688,25.0,1
414.0,0.18056797981262207,25.3,1
-269.0,0.17668437957763672,25.7,1
203.0,0.1851968765258789,27.8,1
415.0,0.17668390274047852,25.7,1
-393.0,0.17786002159118652,24.3,1
-24.0,0.17342042922973633,28.8,1
562.0,0.18468284606933594,28.9,1
-490.0,0.17658090591430664,24.7,1
846.0,0.18036437034606934,25.7,1
-277.0,0.17682313919067383,24.7,1
70.0,0.1764986515045166,25.7,1
-261.0,0.17746424674987793,25.7,1
105.0,0.18000149726867676,25.3,1
724.0,0.17917728424072266,25.3,1
234.0,0.17911624908447266,25.3,1
92.0,0.17880702018737793,24.3,1
-123.0,0.17815279960632324,24.7,1
-474.0,0.18663573265075684,25.6,1
76.0,0.17695260047912598,24.7,1
652.0,0.18278121948242188,26.7,1
-516.0,0.17327141761779785,25.0,1
419.0,0.17423725128173828,25.0,1
330.0,0.17372822761535645,26.4,1
84.0,0.175323486328125,25.7,1
-393.0,0.17565655708312988,24.7,1
538.0,0.1768181324005127,24.3,1
-422.0,0.17497730255126953,24.7,1
439.0,0.1741163730621338,26.0,1
-116.0,0.17656397819519043,24.7,1
445.0,0.1768791675567627,30.1,1
-46.0,0.17721819877624512,25.3,1
-165.0,0.1732029914855957,25.0,1
370.0,0.17428970336914062,25.4,1
-518.0,0.17314672470092773,25.0,1
-96.0,0.17670035362243652,27.4,1
334.0,0.17459583282470703,29.2,1
10.0,0.17384743690490723,25.0,1
263.0,0.18642544746398926,25.6,1
-313.0,0.17683839797973633,25.7,1
157.0,0.18724727630615234,26.0,1
253.0,0.17680597305297852,24.7,1
669.0,0.17754220962524414,25.3,1
-538.0,0.18332290649414062,24.7,1
154.0,0.18180203437805176,25.0,1
539.0,0.17897367477416992,24.3,1
-5.0,0.18850398063659668,24.4,1
-204.0,0.17807674407958984,24.7,1
-203.0,0.17466950416564941,30.1,1
250.0,0.17889118194580078,25.3,1
513.0,0.17882847785949707,24.7,1
-476.0,0.180067777633667,25.0,1
863.0,0.1735694408416748,25.0,1
86.0,0.17290067672729492,25.0,1
-387.0,0.17626214027404785,26.0,1
-9.0,0.1769099235534668,24.7,1
203.0,0.1768958568572998,25.7,1
-150.0,0.17570209503173828,27.0,1
875.0,0.18589329719543457,26.0,1
-598.0,0.18129467964172363,30.3,1
-16.0,0.17671775817871094,25.7,1
483.0,0.17574405670166016,24.7,1
159.0,0.17783522605895996,28.0,1
-332.0,0.17294645309448242,26.0,1
130.0,0.17359662055969238,25.0,1
-181.0,0.17805051803588867,25.7,1
919.0,0.1776423454284668,25.7,1
-673.0,0.18171286582946777,26.0,1
74.0,0.173506498336792,25.0,1
680.0,0.17341899871826172,25.0,1
193.0,0.17986440658569336,24.0,1
-251.0,0.18193387985229492,30.3,1
-198.0,0.17685651779174805,24.7,1
596.0,0.1755361557006836,25.7,1
-465.0,0.17558646202087402,24.7,1
185.0,0.1815474033355713,25.3,1
132.0,0.17357802391052246,25.0,1
34.0,0.18361568450927734,24.7,1
