time_since_last_recording,latency,cost,reliability
1463.0,0.030040979385375977,24.5,1
1861.0,0.029977083206176758,50.9,1
536.0,0.03083038330078125,25.5,1
1866.0,0.029808998107910156,25.5,1
1133.0,0.03095555305480957,25.5,1
1110.0,0.029855966567993164,24.1,1
820.0,0.03046703338623047,24.1,1
979.0,0.03144073486328125,25.5,1
1357.0,0.03063511848449707,24.1,1
1975.0,0.03096294403076172,24.1,1
1180.0,0.031679391860961914,50.0,1
946.0,0.02947711944580078,25.9,1
1518.0,0.03017592430114746,25.5,1
728.0,0.03054499626159668,25.0,1
942.0,0.030063390731811523,25.5,1
1445.0,0.03343081474304199,43.1,1
1743.0,0.030818700790405273,25.0,1
660.0,0.02995777130126953,25.5,1
1321.0,0.029508352279663086,24.5,1
1719.0,0.03258156776428223,25.5,1
1190.0,0.03001570701599121,25.9,1
899.0,0.031905412673950195,25.5,1
1712.0,0.028937816619873047,25.9,1
1168.0,0.030431509017944336,25.5,1
1345.0,0.030271530151367188,24.1,1
1476.0,0.030849933624267578,24.1,1
386.0,0.030519485473632812,42.9,1
1755.0,0.03101634979248047,33.3,1
739.0,0.03104233741760254,23.6,1
1546.0,0.031548261642456055,26.8,1
1223.0,0.0301210880279541,25.5,1
1117.0,0.030078649520874023,25.9,1
1446.0,0.031244993209838867,25.5,1
1721.0,0.033361196517944336,26.8,1
1066.0,0.029662609100341797,25.9,1
1162.0,0.031664133071899414,25.8,1
1359.0,0.029824495315551758,25.5,1
1155.0,0.034154653549194336,23.2,1
1635.0,0.030341386795043945,25.5,1
1040.0,0.030220985412597656,25.0,1
1113.0,0.03206467628479004,32.1,1
1187.0,0.031731367111206055,27.3,1
1415.0,0.033356666564941406,25.5,1
1681.0,0.03006291389465332,24.1,1
990.0,0.032566070556640625,25.5,1
1167.0,0.03099989891052246,25.5,1
768.0,0.029724597930908203,27.8,1
1397.0,0.030116796493530273,25.5,1
2082.0,0.03165388107299805,26.8,1
1389.0,0.03266716003417969,26.8,1
790.0,0.03184318542480469,25.5,1
2354.0,0.029924869537353516,25.9,1
954.0,0.03007793426513672,49.1,1
1683.0,0.030165910720825195,25.5,1
1840.0,0.030911922454833984,50.0,1
1250.0,0.036524295806884766,50.0,1
1456.0,0.03144192695617676,24.1,1
974.0,0.030565261840820312,25.0,1
1292.0,0.030167341232299805,35.7,1
1503.0,0.030015230178833008,50.9,1
1095.0,0.034657955169677734,25.0,1
1537.0,0.03149747848510742,49.1,1
1065.0,0.032421112060546875,26.3,1
901.0,0.030684709548950195,26.8,1
1245.0,0.030960798263549805,26.3,1
1329.0,0.02991461753845215,25.5,1
1535.0,0.030599594116210938,24.5,1
987.0,0.029545307159423828,50.0,1
993.0,0.034372568130493164,50.0,1
1289.0,0.030991554260253906,24.5,1
1217.0,0.030820131301879883,25.5,1
1279.0,0.031017303466796875,33.9,1
1626.0,0.03032851219177246,25.9,1
1489.0,0.03092050552368164,25.5,1
1178.0,0.031182289123535156,26.8,1
914.0,0.03145909309387207,24.2,1
1219.0,0.03178048133850098,25.0,1
1329.0,0.030170440673828125,25.9,1
1404.0,0.030280113220214844,24.1,1
1406.0,0.031360626220703125,50.0,1
971.0,0.0317234992980957,25.4,1
1268.0,0.03340744972229004,25.4,1
1606.0,0.029842853546142578,25.9,1
1180.0,0.030625343322753906,25.5,1
1473.0,0.03022289276123047,25.5,1
1201.0,0.03114032745361328,25.5,1
1269.0,0.029697179794311523,26.8,1
980.0,0.03008127212524414,24.1,1
1438.0,0.03394055366516113,25.0,1
1161.0,0.03114604949951172,27.8,1
1038.0,0.031267404556274414,25.9,1
1849.0,0.030669450759887695,25.5,1
676.0,0.030997037887573242,25.5,1
1610.0,0.029568195343017578,25.5,1
662.0,0.03009653091430664,50.9,1
1300.0,0.032053470611572266,26.8,1
1551.0,0.030078887939453125,25.5,1
1169.0,0.03307604789733887,25.0,1
1212.0,0.0301973819732666,25.5,1
1541.0,0.033426761627197266,31.6,1
851.0,0.0339353084564209,25.9,1
2058.0,0.03287696838378906,25.9,1
731.0,0.03034377098083496,30.9,1
1659.0,0.03185391426086426,25.5,1
669.0,0.03202319145202637,25.5,1
1381.0,0.030515193939208984,25.5,1
1958.0,0.030574798583984375,50.8,1
1304.0,0.031470298767089844,49.1,1
972.0,0.03061366081237793,25.5,1
1537.0,0.03339648246765137,47.5,1
512.0,0.03121161460876465,25.5,1
1965.0,0.03137946128845215,25.5,1
616.0,0.030581235885620117,25.5,1
1287.0,0.02996063232421875,25.5,1
999.0,0.02975320816040039,24.1,1
2366.0,1.2448532581329346,28.6,1
2352.0,0.032648324966430664,25.0,1
1680.0,0.030710697174072266,49.1,1
1633.0,0.0342869758605957,50.0,1
834.0,0.03170442581176758,25.5,1
847.0,0.030719280242919922,25.5,1
1679.0,0.029901742935180664,48.1,1
894.0,0.030786991119384766,25.5,1
1860.0,0.031659841537475586,50.0,1
1166.0,0.030657052993774414,25.5,1
1533.0,0.03381013870239258,25.5,1
692.0,0.03266143798828125,50.0,1
977.0,0.030106306076049805,25.9,1
