,Unnamed: 0,Hours,Minutes,Seconds,Latency,Cost,Reliability,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Server_1.0,Server_2.0,Server_3.0,Server_4.0,Server_5.0,Server_6.0,Server_7.0,Server_8.0,Tactic_1.0,Tactic_2.0,Tactic_3.0,Tactic_4.0,Tactic_5.0
46009,46009,0.6956521739130435,0.8135593220338984,0.2085037924665017,0.006951700437031778,0.11196911196911197,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
46010,46010,0.6956521739130435,0.8135593220338984,0.23645062860013105,0.0018279992636435934,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
46011,46011,0.6956521739130435,0.8135593220338984,0.24065782999664145,2.3141515967410057e-05,0.2561132561132561,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
46012,46012,0.6956521739130435,0.8135593220338984,0.8808998883238458,0.036412099433507886,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
46013,46013,0.6956521739130435,0.8135593220338984,0.8855884970706275,0.03854521105188553,0.32303732303732297,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46014,46014,0.6956521739130435,0.8305084745762712,0.5422953712821007,0.01868261878053257,0.06048906048906048,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
46015,46015,0.6956521739130435,0.8305084745762712,0.5723963279212307,0.0016718559302003528,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
46016,46016,0.6956521739130435,0.8305084745762712,0.5727758275043422,2.0931480503493446e-05,0.28442728442728443,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
46017,46017,0.6956521739130435,0.8474576271186439,0.2015985228315554,0.035430143391940616,0.32947232947232946,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46018,46018,0.6956521739130435,0.8474576271186439,0.20632003790354556,0.037408446402404864,0.32947232947232946,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
46019,46019,0.6956521739130435,0.8474576271186439,0.8854223960916836,0.019955810571331292,0.025740025740025742,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46020,46020,0.6956521739130435,0.8474576271186439,0.9188298958188416,0.0018604499473133692,0.3204633204633205,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46021,46021,0.6956521739130435,0.8474576271186439,0.9192413667935178,2.269105433151945e-05,0.28442728442728443,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46022,46022,0.6956521739130435,0.8644067796610171,0.5426015954408896,0.035123174587888314,0.32303732303732297,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
46023,46023,0.6956521739130435,0.8644067796610171,0.5467736700447879,0.037258226235706265,0.3178893178893179,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
46024,46024,0.6956521739130435,0.8644067796610171,0.8918579784373917,0.009642885291741302,0.08751608751608751,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
46025,46025,0.6956521739130435,0.8644067796610171,0.9139747019310503,0.0016646773968283153,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
46026,46026,0.6956521739130435,0.8644067796610171,0.9143906806215086,2.268859401480524e-05,0.35006435006435005,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46027,46027,0.6956521739130435,0.8813559322033898,0.558542197370202,0.03629142246112806,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46028,46028,0.6956521739130435,0.8813559322033898,0.5631170447268415,0.03825601126852851,0.3359073359073359,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46029,46029,0.6956521739130435,0.8813559322033898,0.6957100185769646,0.003610953034688229,0.25353925353925355,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46030,46030,0.6956521739130435,0.8813559322033898,0.7277513298220676,0.0017822783022642837,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46031,46031,0.6956521739130435,0.8813559322033898,0.7282649422973146,2.8434328356698164e-05,0.29601029601029605,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
46032,46032,0.6956521739130435,0.8983050847457628,0.3756671732393142,0.036474061169668,0.3268983268983269,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
46033,46033,0.6956521739130435,0.8983050847457628,0.3799920093224905,0.03854672236269464,0.32303732303732297,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46034,46034,0.7391304347826086,0.0,0.0018383132768641202,0.33699226618073536,0.010296010296010296,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46035,46035,0.7391304347826086,0.0,0.03387917375038898,0.0017818795072775148,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
46036,46036,0.7391304347826086,0.0,0.034262112553689605,2.1087151456160957e-05,0.28442728442728443,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
