Timestamp,Server,Tactic,PingSuccess,PingTime
2020-03-19 17:00:40.229685,6,0.06065511703491211
2020-03-20 02:46:18.596939,7,1,0.11998820304870605
2020-03-20 02:48:58.307438,8,1,0.1009068489074707
2020-03-20 02:51:35.127426,1,1,0.13469934463500977
2020-03-20 02:53:57.207369,2,1,0.14330005645751953
2020-03-20 02:56:10.281627,3,1,0.1579594612121582
2020-03-20 02:58:35.930788,4,1,0.18875694274902344
2020-03-20 03:02:44.318448,5,1,0.04326152801513672
2020-03-20 03:05:11.545776,6,0.06479024887084961
2020-03-20 03:07:42.155830,7,1,0.12134122848510742
2020-03-20 03:10:21.884157,8,1,0.10351872444152832
2020-03-20 03:12:54.480274,1,1,0.14366793632507324
2020-03-20 03:15:14.534970,2,1,0.14368987083435059
2020-03-20 03:17:28.456946,3,1,0.15793228149414062
2020-03-20 03:19:51.834964,4,1,0.17486357688903809
2020-03-20 03:22:56.498298,5,1,0.04710054397583008
2020-03-20 03:25:33.210878,6,0.06764554977416992
2020-03-20 03:28:01.629824,7,1,0.12183332443237305
2020-03-20 03:30:36.558296,8,1,0.2558705806732178
2020-03-20 03:33:16.446127,1,1,0.14239287376403809
2020-03-20 03:35:35.947735,2,1,0.14285039901733398
2020-03-20 03:37:58.246978,3,1,0.1573946475982666
2020-03-20 03:40:23.615921,4,1,0.17412447929382324
2020-03-20 03:43:33.794241,5,1,0.04656219482421875
2020-03-20 03:46:25.438782,6,0.06732583045959473
2020-03-20 03:48:56.538261,7,1,0.1216285228729248
2020-03-20 03:51:55.583973,8,1,0.10842537879943848
2020-03-20 03:54:33.915886,1,1,0.15050578117370605
2020-03-20 03:56:50.830695,2,1,0.14242029190063477
2020-03-20 03:59:02.056935,3,1,0.1650996208190918
2020-03-20 04:01:28.490444,4,1,0.1744673252105713
2020-03-20 04:04:36.172028,5,1,0.04714083671569824
2020-03-20 04:07:05.546383,6,0.060584068298339844
2020-03-20 04:09:31.251321,7,1,0.13485193252563477
2020-03-20 04:12:07.708068,8,1,0.10438299179077148
2020-03-20 04:14:40.371241,1,1,0.1429765224456787
2020-03-20 04:17:01.277763,2,1,0.1421666145324707
2020-03-20 04:19:13.410267,3,1,0.16555285453796387
2020-03-20 04:21:36.552646,4,1,0.17361211776733398
2020-03-20 04:24:43.043372,5,1,0.04728817939758301
2020-03-20 04:27:13.370949,6,0.06066131591796875
2020-03-20 04:29:40.009948,7,1,0.12885046005249023
2020-03-20 04:32:29.837221,8,1,0.12429165840148926
2020-03-20 04:35:01.549734,1,1,0.14408445358276367
2020-03-20 04:37:17.672924,2,1,0.14234113693237305
2020-03-20 04:39:29.113249,3,1,0.15803050994873047
2020-03-20 04:41:53.539057,4,1,0.17365384101867676
2020-03-20 04:45:02.539366,5,1,0.047434091567993164
2020-03-20 04:47:36.595608,6,0.060802459716796875
2020-03-20 04:50:04.980917,7,1,0.12205719947814941
2020-03-20 04:52:42.445930,8,1,0.11037707328796387
2020-03-20 04:55:16.092852,1,1,0.14349961280822754
2020-03-20 04:57:35.957245,2,1,0.14282560348510742
2020-03-20 04:59:50.965992,3,1,0.1582927703857422
2020-03-20 05:02:21.414391,4,1,0.1747908592224121
2020-03-20 05:05:40.600685,5,1,0.04709434509277344
2020-03-20 05:08:10.170840,6,0.0608372688293457
2020-03-20 05:10:39.210029,7,1,0.12694859504699707
2020-03-20 05:13:08.041194,8,1,0.10141515731811523
2020-03-20 05:15:39.685659,1,1,0.14320731163024902
2020-03-20 05:18:04.600376,2,1,0.14222264289855957
2020-03-20 05:20:15.876206,3,1,0.15811610221862793
2020-03-20 05:22:41.272005,4,1,0.1762409210205078
2020-03-20 05:25:57.168011,5,1,0.047371864318847656
2020-03-20 05:28:27.992785,6,0.0662229061126709
2020-03-20 05:30:57.751457,7,1,0.12137365341186523
2020-03-20 05:33:40.087132,8,1,0.12673187255859375
2020-03-20 05:36:15.927319,1,1,0.14364266395568848
2020-03-20 05:38:34.438476,2,1,0.1420910358428955
2020-03-20 05:40:47.590528,3,1,0.16466331481933594
2020-03-20 05:43:13.447323,4,1,0.1816873550415039
2020-03-20 05:46:31.716356,5,1,0.05325150489807129
2020-03-20 05:49:04.845292,6,0.060709238052368164
2020-03-20 05:51:37.212195,7,1,0.13019919395446777
2020-03-20 05:54:33.078540,8,1,0.10111212730407715
2020-03-20 05:57:05.640034,1,1,0.14389419555664062
2020-03-20 05:59:23.763281,2,1,0.14317917823791504
2020-03-20 06:01:36.063908,3,1,0.1641695499420166
2020-03-20 06:04:00.094717,4,1,0.17450261116027832
2020-03-20 06:07:20.325083,5,1,0.04667520523071289
2020-03-20 06:09:50.692747,6,0.06039929389953613
2020-03-20 06:12:45.521856,7,1,0.12170267105102539
2020-03-20 06:15:40.531842,8,1,0.10027885437011719
2020-03-20 06:18:12.214930,1,1,0.14350318908691406
2020-03-20 06:20:28.747126,2,1,0.14390039443969727
2020-03-20 06:22:41.908379,3,1,0.15881991386413574
2020-03-20 06:25:08.662063,4,1,0.17402148246765137
2020-03-20 06:28:28.554035,5,1,0.04693722724914551
2020-03-20 06:31:02.455224,6,0.06743907928466797
2020-03-20 06:33:46.703429,7,1,0.12210297584533691
2020-03-20 06:36:28.875387,8,1,0.12463235855102539
2020-03-20 06:39:01.664894,1,1,0.14380097389221191
2020-03-20 06:41:18.362110,2,1,0.14342665672302246
2020-03-20 06:43:32.056517,3,1,0.16498279571533203
2020-03-20 06:45:58.498387,4,1,0.17592930793762207
2020-03-20 06:49:11.688281,5,1,0.04604601860046387
2020-03-20 06:51:41.274011,6,0.06110191345214844
