Date,Current(mA),Power(mW),Is_Active,Tactic
2019-6-2T23:59:48:774,304.38,1604.68,1,1
2019-6-2T23:59:48:880,309.23,1556.94,1,1
2019-6-2T23:59:48:985,314.78,1556.94,1,1
2019-6-2T23:59:49:91,302.84,1546.16,1,1
2019-6-2T23:59:49:197,301.84,1489.18,1,1
2019-6-2T23:59:49:302,302.99,1538.46,1,1
2019-6-2T23:59:49:408,298.30,1526.14,1,1
2019-6-2T23:59:49:514,306.15,1546.16,1,1
2019-6-2T23:59:49:619,298.14,1544.62,1,1
2019-6-2T23:59:49:725,311.08,1600.06,1,1
2019-6-2T23:59:49:831,310.00,1584.66,1,1
2019-6-2T23:59:49:937,292.91,1493.80,1,1
2019-6-2T23:59:50:42,309.08,1564.64,1,1
2019-6-2T23:59:50:148,299.22,1538.46,1,1
2019-6-2T23:59:50:254,313.77,1607.76,1,1
2019-6-2T23:59:50:359,298.68,1533.84,1,1
2019-6-2T23:59:50:465,382.77,1593.90,1,1
2019-6-2T23:59:50:571,311.54,1587.74,1,1
2019-6-2T23:59:50:676,304.15,1723.26,1,1
2019-6-2T23:59:50:782,324.02,1650.88,1,1
2019-6-2T23:59:50:888,307.92,1564.64,1,1
2019-6-2T23:59:50:993,297.68,1541.54,1,1
2019-6-2T23:59:51:99,297.68,1526.14,1,1
2019-6-2T23:59:51:205,307.61,1560.02,1,1
2019-6-2T23:59:51:310,306.61,1620.08,1,1
2019-6-2T23:59:51:416,307.54,1763.30,1,1
2019-6-2T23:59:51:521,306.69,1556.94,1,1
2019-6-2T23:59:51:627,294.76,1513.82,1,1
2019-6-2T23:59:51:733,305.30,1593.90,1,1
2019-6-2T23:59:51:838,298.45,1532.30,1,1
2019-6-2T23:59:51:944,308.31,1526.14,1,1
2019-6-2T23:59:52:50,299.84,1556.94,1,1
2019-6-2T23:59:52:155,317.32,1617.00,1,1
2019-6-2T23:59:52:261,304.92,1536.92,1,1
2019-6-2T23:59:52:367,302.84,1546.16,1,1
2019-6-2T23:59:52:472,309.69,1667.82,1,1
2019-6-2T23:59:52:578,314.78,1587.74,1,1
2019-6-2T23:59:52:684,309.31,1675.52,1,1
2019-6-2T23:59:52:789,319.70,1627.78,1,1
2019-6-2T23:59:52:895,332.33,1576.96,1,1
2019-6-2T23:59:53:1,328.94,1596.98,1,1
2019-6-2T23:59:53:106,362.67,1869.56,1,1
2019-6-2T23:59:53:212,473.24,2293.06,1,1
2019-6-2T23:59:53:318,373.37,1786.40,1,1
2019-6-2T23:59:53:423,368.68,1951.18,1,1
2019-6-2T23:59:53:529,389.62,1794.10,1,1
2019-6-2T23:59:53:635,395.09,1817.20,1,1
2019-6-2T23:59:53:740,343.50,1781.78,1,1
2019-6-2T23:59:53:846,357.28,1814.12,1,1
2019-6-2T23:59:53:952,344.42,1738.66,1,1
2019-6-2T23:59:54:57,406.17,1925.00,1,1
2019-6-2T23:59:54:163,373.91,1837.22,1,1
2019-6-2T23:59:54:269,429.89,1965.04,1,1
2019-6-2T23:59:54:374,357.51,1937.32,1,1
2019-6-2T23:59:54:480,368.83,1992.76,1,1
2019-6-2T23:59:54:585,370.06,2018.94,1,1
2019-6-2T23:59:54:691,347.19,1968.12,1,1
2019-6-2T23:59:54:797,402.32,1789.48,1,1
2019-6-2T23:59:54:902,347.04,1769.46,1,1
2019-6-2T23:59:55:8,487.64,2316.16,1,1
2019-6-2T23:59:55:114,361.67,1968.12,1,1
2019-6-2T23:59:55:219,352.20,1849.54,1,1
2019-6-2T23:59:55:325,345.11,1811.04,1,1
2019-6-2T23:59:55:431,301.61,2058.98,1,1
2019-6-2T23:59:55:537,297.91,1549.24,1,1
2019-6-2T23:59:55:642,381.23,2012.78,1,1
2019-6-2T23:59:55:748,304.84,1546.16,1,1
2019-6-2T23:59:55:854,343.42,1552.32,1,1
2019-6-2T23:59:55:959,294.60,1592.36,1,1
2019-6-2T23:59:56:65,302.61,1617.00,1,1
2019-6-2T23:59:56:171,353.43,1880.34,1,1
2019-6-2T23:59:56:276,291.52,1556.94,1,1
2019-6-2T23:59:56:382,330.18,1584.66,1,1
2019-6-2T23:59:56:488,465.39,1723.26,1,1
2019-6-2T23:59:56:593,332.18,1763.30,1,1
2019-6-2T23:59:56:699,312.31,1569.26,1,1
2019-6-2T23:59:56:805,401.17,1834.14,1,1
2019-6-2T23:59:56:910,307.23,1734.04,1,1
2019-6-2T23:59:57:16,315.70,1604.68,1,1
2019-6-2T23:59:57:122,308.54,1908.06,1,1
2019-6-2T23:59:57:227,326.63,1564.64,1,1
2019-6-2T23:59:57:333,381.30,1781.78,1,1
2019-6-2T23:59:57:439,304.15,1600.06,1,1
2019-6-2T23:59:57:544,306.69,1587.74,1,1
2019-6-2T23:59:57:650,378.53,1789.48,1,1
2019-6-2T23:59:57:755,305.84,1553.86,1,1
2019-6-2T23:59:57:861,302.30,1690.92,1,1
2019-6-2T23:59:57:967,468.08,2445.52,1,1
2019-6-2T23:59:58:72,312.31,1513.82,1,1
2019-6-2T23:59:58:178,336.03,1513.82,1,1
2019-6-2T23:59:58:284,338.88,1761.76,1,1
2019-6-2T23:59:58:389,307.61,1698.62,1,1
2019-6-2T23:59:58:495,378.53,1746.36,1,1
2019-6-2T23:59:58:601,311.00,1831.06,1,1
2019-6-2T23:59:58:707,317.32,1596.98,1,1
2019-6-2T23:59:58:812,454.68,1844.92,1,1
2019-6-2T23:59:58:918,306.00,1553.86,1,1
2019-6-2T23:59:59:23,307.54,1734.04,1,1
2019-6-2T23:59:59:129,402.17,1771.00,1,1
2019-6-2T23:59:59:235,344.11,1584.66,1,1
2019-6-2T23:59:59:340,330.48,1718.64,1,1
2019-6-2T23:59:59:446,398.17,1992.76,1,1
2019-6-2T23:59:59:552,308.69,1755.60,1,1
2019-6-2T23:59:59:657,302.38,1493.80,1,1
2019-6-2T23:59:59:763,382.92,1775.62,1,1
2019-6-2T23:59:59:869,372.99,1771.00,1,1
2019-6-2T23:59:59:975,306.23,1538.46,1,1
2019-6-3T0:0:0:80,329.64,1549.24,1,1
2019-6-3T0:0:0:186,400.71,2011.24,1,1
2019-6-3T0:0:0:292,299.30,1652.42,1,1
2019-6-3T0:0:0:397,324.02,1730.96,1,1
2019-6-3T0:0:0:503,422.19,1806.42,1,1
2019-6-3T0:0:0:609,295.53,1501.50,1,1
2019-6-3T0:0:0:714,346.89,1576.96,1,1
2019-6-3T0:0:0:820,293.22,1584.66,1,1
2019-6-3T0:0:0:926,338.18,1624.70,1,1
2019-6-3T0:0:1:31,359.44,1838.76,1,1
2019-6-3T0:0:1:137,306.69,1549.24,1,1
2019-6-3T0:0:1:243,314.31,1589.28,1,1
2019-6-3T0:0:1:349,307.31,1635.48,1,1
2019-6-3T0:0:1:454,350.73,1864.94,1,1
2019-6-3T0:0:1:560,306.61,1553.86,1,1
2019-6-3T0:0:1:666,387.46,1761.76,1,1
2019-6-3T0:0:1:771,298.61,1526.14,1,1
2019-6-3T0:0:1:877,353.74,1573.88,1,1
2019-6-3T0:0:1:983,302.99,1544.62,1,1
2019-6-3T0:0:2:88,368.91,1544.62,1,1
2019-6-3T0:0:2:194,304.61,1561.56,1,1
2019-6-3T0:0:2:300,310.08,1901.90,1,1
2019-6-3T0:0:2:405,340.42,1564.64,1,1
2019-6-3T0:0:2:511,303.69,1738.66,1,1
2019-6-3T0:0:2:617,292.83,1587.74,1,1
2019-6-3T0:0:2:722,298.45,1516.90,1,1
2019-6-3T0:0:2:828,347.19,1566.18,1,1
2019-6-3T0:0:2:934,295.68,1509.20,1,1
2019-6-3T0:0:3:39,309.39,1552.32,1,1
2019-6-3T0:0:3:145,311.85,1589.28,1,1
2019-6-3T0:0:3:251,341.42,2177.56,1,1
2019-6-3T0:0:3:356,312.85,1612.38,1,1
2019-6-3T0:0:3:462,303.69,1968.12,1,1
2019-6-3T0:0:3:567,301.84,1510.74,1,1
2019-6-3T0:0:3:673,341.49,1791.02,1,1
2019-6-3T0:0:3:778,309.85,1743.28,1,1
2019-6-3T0:0:3:884,360.59,1945.02,1,1
2019-6-3T0:0:3:989,307.00,1715.56,1,1
2019-6-3T0:0:4:95,361.13,1766.38,1,1
2019-6-3T0:0:4:201,335.80,1572.34,1,1
2019-6-3T0:0:4:307,339.34,1643.18,1,1
2019-6-3T0:0:4:413,303.92,1761.76,1,1
2019-6-3T0:0:4:519,379.22,1754.06,1,1
2019-6-3T0:0:4:625,355.59,1797.18,1,1
2019-6-3T0:0:4:730,358.43,1769.46,1,1
2019-6-3T0:0:4:836,347.58,1556.94,1,1
2019-6-3T0:0:4:941,313.70,1829.52,1,1
2019-6-3T0:0:5:48,312.31,1564.64,1,1
2019-6-3T0:0:5:153,295.53,1513.82,1,1
2019-6-3T0:0:5:259,325.63,1589.28,1,1
