,timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time,day1,day2,day3,day4,day5,day6,day7
2720,2020-04-09 22:46:03.000275,0.0028099284137285073,0.05372602150397755,0.06445312499999999,1,2020-04-09 22:43:25.000130,0.010738072583933668,1,0.0388503869227999,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2725,2020-04-09 22:49:31.000412,0.001271158091924801,0.05121697756647142,0.06640625,1,2020-04-09 22:49:26.000759,0.00027184993883376383,1,0.03867032069356241,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2730,2020-04-09 22:56:15.000328,0.002743025356258781,0.0630863826862441,0.052734375,1,2020-04-09 22:55:55.000462,0.0012912872094603778,1,0.03848147074582554,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2735,2020-04-09 23:01:42.000733,0.0017394794942128856,0.06289681254918489,0.06445312499999999,1,2020-04-09 23:01:20.000751,0.0014272121788772598,1,0.03930274842551846,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2740,2020-04-09 23:08:07.000482,0.0,0.0394452223461862,0.0625,1,2020-04-09 23:06:21.000279,0.00720402337909474,1,0.03908315546303372,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2745,2020-04-09 23:12:21.000359,0.0008028366896367164,0.0587249489192452,0.05078125,1,2020-04-09 23:12:11.000739,0.0006116623623759682,1,0.0381784324575966,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2750,2020-04-09 23:14:36.000794,0.0012042550344550744,0.06453133035718303,0.05468749999999999,1,2020-04-09 23:13:58.000467,0.0025825744189207555,1,0.039113898477781586,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2755,2020-04-09 23:23:43.000313,0.008429785241185522,0.042828095363821074,0.0625,1,2020-04-09 23:22:58.000608,0.0029903493271714013,1,0.03870545556755998,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2760,2020-04-09 23:28:52.000147,0.0,0.0450869510628274,0.05468749999999999,1,2020-04-09 23:28:42.000372,0.0006116623623759682,1,0.03865714511581333,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2765,2020-04-09 23:30:45.000189,0.002542316183849602,0.048883107176886965,0.056640624999999986,1,2020-04-09 23:30:28.000307,0.001087399755335055,1,0.03870545556755998,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2770,2020-04-09 23:39:53.000744,0.004348698735532214,0.045737205753647966,0.068359375,1,2020-04-09 23:39:34.000310,0.0012912872094603778,1,0.03868788813056119,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2775,2020-04-09 23:46:32.000142,0.01324680537900582,0.04370823777974337,0.068359375,1,2020-04-09 23:46:15.000026,0.001155362240043496,1,0.03828383707958928,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2780,2020-04-09 23:48:27.000376,0.0024754131263798754,0.07228050598974006,0.04687499999999999,1,2020-04-09 23:47:29.000014,0.003941824113089574,1,0.03849464632357463,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2785,2020-04-09 23:55:46.000654,0.0008697397471064428,0.04723813782729242,0.0703125,1,2020-04-09 23:54:47.000290,0.0040097865977980155,1,0.038551740493820666,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2790,2020-04-09 23:59:57.000881,0.0016056733792734327,0.0763692170875533,0.0625,1,2020-04-09 23:59:40.000121,0.001155362240043496,1,0.038433160294078894,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2795,2020-04-10 00:05:36.000549,0.0034789589884257712,0.05594677673585855,0.06445312499999999,1,2020-04-10 00:05:35.000472,6.796248470844094e-05,1,0.038367282405333485,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2800,2020-04-10 00:16:20.000570,0.01251087174683883,0.19401653946589764,0.04296875,1,2020-04-10 00:15:19.000621,0.004077749082506457,1,0.03794127205811308,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2805,2020-04-10 00:21:13.000081,0.0019401886666220649,0.04098044630992588,0.091796875,1,2020-04-10 00:20:31.000387,0.0027864618730460786,1,0.03867032069356241,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2810,2020-04-10 00:24:26.000753,0.00013380611493945274,0.06105077384731952,0.05078125,1,2020-04-10 00:23:32.000632,0.00366997417425581,1,0.039438896062259005,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2815,2020-04-10 00:27:49.000153,0.0062219843446845524,0.07154648359972038,0.04687499999999999,1,2020-04-10 00:27:23.000729,0.0016990621177110235,1,0.03914464149252945,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2820,2020-04-10 00:37:39.000690,0.015655315447915968,0.04242933272976696,0.06445312499999999,1,2020-04-10 00:35:08.000105,0.010262335190974584,1,0.039359842595764485,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2825,2020-04-10 00:40:38.000795,0.002274703953970697,0.0801559336413442,0.04687499999999999,1,2020-04-10 00:39:27.000810,0.004757373929590866,1,0.03812573014660026,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2830,2020-04-10 00:44:48.000644,0.004616310965411118,0.06707615686267379,0.056640624999999986,1,2020-04-10 00:44:14.000023,0.002310724480086992,1,0.03813012200584996,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2835,2020-04-10 00:49:53.000871,0.00662340268950291,0.04104941220754713,0.076171875,1,2020-04-10 00:47:47.000696,0.008563273073263558,1,0.03781829999912163,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2840,2020-04-10 00:57:53.000382,0.006422693517093731,0.04400467062555582,0.05859375,1,2020-04-10 00:57:26.000017,0.001834987087127905,1,0.03812133828735057,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2845,2020-04-10 01:01:46.000693,0.003545862045895497,0.04109718948367564,0.078125,1,2020-04-10 01:01:09.000266,0.0025146119342123146,1,0.03805106853935545,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2850,2020-04-10 01:05:41.000528,0.007827657723957986,0.03988529145460104,0.08007812499999999,1,2020-04-10 01:01:09.000266,0.018485795840695936,1,0.03805106853935545,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2855,2020-04-10 01:14:09.000373,0.0054191476550478354,0.05469610218574257,0.072265625,1,2020-04-10 01:11:12.000663,0.011961397308685605,1,0.03874498230080722,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2860,2020-04-10 01:17:04.000782,0.0008697397471064428,0.04262092472993529,0.068359375,1,2020-04-10 01:15:24.000300,0.006796248470844094,1,0.04434460284416805,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2865,2020-04-10 01:21:31.000215,0.010771392252625946,0.04650943988674812,0.05078125,1,2020-04-10 01:18:50.000612,0.010873997553350551,1,0.038947007826293185,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2870,2020-04-10 01:28:46.000063,0.0011373519769853485,0.03932867862933714,0.06640625,1,2020-04-10 01:28:39.000152,0.0004077749082506457,1,0.03875815787855631,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2875,2020-04-10 01:34:34.000153,0.002542316183849602,0.05188961552064257,0.099609375,1,2020-04-10 01:33:14.000551,0.005369036291966834,1,0.038433160294078894,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2880,2020-04-10 01:36:32.000673,0.0002007091724091791,0.06927619797053107,0.05859375,1,2020-04-10 01:35:34.000366,0.003941824113089574,1,0.03888112993754776,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2885,2020-04-10 01:44:38.000628,0.006422693517093731,0.051072218046586175,0.06445312499999999,1,2020-04-10 01:44:34.000547,0.00027184993883376383,1,0.039039236870536766,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2890,2020-04-10 01:48:51.000911,6.690305746972637e-05,0.0457479953222024,0.06445312499999999,1,2020-04-10 01:48:35.000809,0.001087399755335055,1,0.038802076471053264,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2895,2020-04-10 01:55:57.000392,0.00033451528734863183,0.2546163832516729,0.03125,1,2020-04-10 01:55:08.000383,0.0033301617507136053,1,0.03811694642810087,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2900,2020-04-10 02:01:28.000577,0.0054191476550478354,0.05741222437709625,0.06445312499999999,1,2020-04-10 01:59:38.000499,0.007475873317928503,1,0.038898697374546536,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2905,2020-04-10 02:07:45.000434,0.0008028366896367164,0.07546399349125524,0.04492187499999999,1,2020-04-10 02:07:20.000077,0.0016990621177110235,1,0.03884160320430051,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2910,2020-04-10 02:11:06.000742,0.002408510068910149,0.045751043863463535,0.060546875,1,2020-04-10 02:09:28.000252,0.0066603235014272115,1,0.03898653455954044,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2915,2020-04-10 02:18:28.000727,0.016324346022613234,0.131915946267008,0.041015625,1,2020-04-10 02:16:02.000557,0.009922522767432378,1,0.038652753256563636,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2920,2020-04-10 02:22:42.000188,0.0021408978390312443,0.07254935079686696,0.04687499999999999,1,2020-04-10 02:22:35.000906,0.0004077749082506457,1,0.03863957767881456,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2925,2020-04-10 02:29:35.000623,0.005686759884926741,0.06480531065461623,0.06640625,1,2020-04-10 02:29:20.000930,0.0009514747859181732,1,0.038292620798088664,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2930,2020-04-10 02:32:44.000842,0.0015387703218037064,0.0427696880846587,0.072265625,1,2020-04-10 02:31:55.000996,0.003262199266005165,1,0.03839802542008134,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2935,2020-04-10 02:38:08.000404,0.0061550812872148255,0.05082311107444277,0.060546875,1,2020-04-10 02:37:58.000152,0.0006796248470844093,1,0.03867910441206181,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2940,2020-04-10 02:42:22.000376,0.0024754131263798754,0.04990244951403092,0.078125,1,2020-04-10 02:42:15.000456,0.0004077749082506457,1,0.03892504853004471,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2945,2020-04-10 02:50:47.000062,0.008295979126246071,0.14686207275867347,0.05468749999999999,1,2020-04-10 02:50:19.000919,0.001834987087127905,1,0.038780117174804785,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2950,2020-04-10 02:53:30.000933,0.0016725764367431593,0.05236053116363641,0.04492187499999999,1,2020-04-10 02:52:55.000002,0.002378686964795433,1,0.038635185819564856,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2955,2020-04-10 02:59:55.000199,0.0010704489195156222,0.052763759532719764,0.060546875,1,2020-04-10 02:59:51.000358,0.00020388745412532288,1,0.0382618777833408,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2960,2020-04-10 03:08:56.000941,0.001271158091924801,0.5751948809919721,0.017578125,1,2020-04-10 03:08:03.000267,0.0036020116895473697,1,0.04249123824079686,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2965,2020-04-10 03:17:56.000997,0.003880377333244129,0.09806476984091904,0.052734375,1,2020-04-10 03:13:56.000199,0.016310996330025827,1,0.03890748109304593,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2970,2020-04-10 03:26:32.000463,0.002408510068910149,0.0449625340472667,0.05859375,1,2020-04-10 03:26:11.000600,0.0013592496941688187,1,0.04009328309046352,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2975,2020-04-10 03:33:12.000031,0.006824111861912089,0.10075256495328144,0.033203125,1,2020-04-10 03:30:11.000773,0.012233247247519369,1,0.0424561033667993,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2980,2020-04-10 03:36:34.000660,0.0004683214022880847,0.854954192276784,0.015625,1,2020-04-10 03:36:33.000414,6.796248470844094e-05,1,0.0386834962713115,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2985,2020-04-10 03:44:57.000197,0.0034789589884257712,0.05940517673337437,0.05468749999999999,1,2020-04-10 03:44:14.000890,0.0028544243577545195,1,0.03849464632357463,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2990,2020-04-10 03:49:40.000190,0.00147186726433398,0.11040137440669366,0.04296875,1,2020-04-10 03:45:34.000088,0.016718771238276472,1,0.05180197985014977,0.0,0.0,0.0,0.0,1.0,0.0,0.0
